split,n_total,n_wet,pct_zero,mean_wet,std_wet,median_wet,max_wet,exponential_aic,exponential_bic,exponential_ks_stat,exponential_ks_pval,exponential_params,gamma_aic,gamma_bic,gamma_ks_stat,gamma_ks_pval,gamma_params,lognormal_aic,lognormal_bic,lognormal_ks_stat,lognormal_ks_pval,lognormal_params,weibull_aic,weibull_bic,weibull_ks_stat,weibull_ks_pval,weibull_params,best_dist_aic
train,35903,20070,44.099378881987576,18.935936,27.57795,8.636,467.36,157656.1450923331,157671.9590552167,0.16175231504287946,0.0,"(0.2540000081062317, 18.681936264038086)",349912.77924720256,349936.50019152794,0.8124566841207796,0.0,"(np.float64(0.1077957951286852), np.float64(0.25400000810623163), np.float64(3.6079750517912665))",155117.5093023388,155141.23024666417,0.05787829624577828,6.982325894325679e-59,"(np.float32(1.3810527), -0.05439344234808784, np.float32(8.3518095))",inf,inf,0.06357747882345736,5.698875882271937e-71,"(np.float64(0.7134639757556165), np.float64(0.762000024318695), np.float64(13.16199077391208))",lognormal
val_spatial,5348,4054,24.19596110695587,15.04615,22.613718,6.3500013,208.026,29955.73596141737,29968.350880071393,0.17253433110179606,5.377863354024221e-106,"(0.2540000081062317, 14.792150497436523)",20577.224656053037,20596.14703403407,0.06959787318437366,1.610186060396881e-17,"(np.float64(0.4408585931478345), np.float64(0.25400000810623163), np.float64(34.62491209612324))",29000.996555755595,29019.91893373663,0.28977373965479336,5.970347455972109e-302,"(np.float32(4.9368987), np.float32(0.25399998), np.float32(1.7514102))",23430.41189027443,23449.334268255465,0.09384443399549725,1.5979517884928813e-31,"(np.float64(0.6371174574231053), np.float64(0.25400000810623163), np.float64(15.570813384571714))",gamma
test_spatial,2379,1678,29.4661622530475,11.45785,16.44312,5.080003,135.636,11468.96038968927,11479.811105463325,0.16644521662760484,4.2377958864349844e-41,"(0.2540000081062317, 11.203850746154785)",7985.210386561086,8001.486460222168,0.07919861039002025,1.331929472316891e-09,"(np.float64(0.5111395178572029), np.float64(0.25400000810623163), np.float64(25.3919237495047))",10915.44136254274,10931.717436203822,0.3018989687882307,3.6235036616479014e-136,"(np.float32(5.089568), np.float32(0.25399998), np.float32(1.2270291))",8230.803967802432,8247.080041463514,0.09195078732940287,8.505476302493715e-13,"(np.float64(0.5263588111070576), np.float64(0.25400000810623163), np.float64(11.228176640761372))",gamma
val_temporal,1802,1321,26.692563817980023,15.476311,23.058243,6.858,181.356,9839.537568502295,9849.90985711134,0.1787218764086443,2.1902282306162815e-37,"(0.2540000081062317, 15.222311019897461)",6661.904420875561,6677.4628537891285,0.06964420880085934,5.134280949912986e-06,"(np.float64(0.5618202833019116), np.float64(0.25400000810623163), np.float64(26.344057887850397))",9597.002845168667,9612.561278082234,0.06047118878756133,0.00012161864963392655,"(np.float32(1.6298183), 0.09287916496324226, np.float32(5.6001773))",6317.656981629645,6333.215414543212,0.12421002737173614,3.194272139895326e-18,"(np.float64(0.47776581485755854), np.float64(0.25400000810623163), np.float64(12.133136944077549))",weibull
test_temporal,366,234,36.0655737704918,12.281041,17.943558,4.8260026,137.92407,1635.989710807634,1642.9003530383495,0.2012999406365858,8.67368974551204e-09,"(0.25400012731552124, 12.0270414352417)",1338.5854453771094,1348.9514087231826,0.5425217642075386,4.798262368682275e-65,"(np.float64(0.2056599829318702), np.float64(0.2540001273155212), np.float64(6.314406875140335))",1570.0661115266762,1580.4320748727494,0.31418409469924424,5.0042650864435856e-21,"(np.float32(5.1272283), np.float32(0.2540001), np.float32(1.3344481))",1118.166988836262,1128.532952182335,0.09506856324050939,0.027196311138950824,"(np.float64(0.6140378881575083), np.float64(0.2540001273155212), np.float64(12.519023200813916))",weibull
