split,variable,mean,std
train,air_temp_diff_1000_500,30.893138885498047,1.055052638053894
train,air_2m,299.74969482421875,0.735688328742981
train,hgt_500,57477.3359375,170.1901397705078
train,hgt_1000,922.27783203125,204.32481384277344
train,omega_500,-0.02731010690331459,0.10500392317771912
train,pottmp_diff_500_1000,27.84849739074707,1.2211685180664062
train,pottmp_diff_850_1000,5.613671779632568,0.762654721736908
train,pr_wtr,46.96238327026367,8.977983474731445
train,shum_750,0.007547792978584766,0.002423719735816121
train,shum_925,0.014674214646220207,0.0012463836465030909
train,zon_moist_750,-0.014078808017075062,0.03702583909034729
train,zon_moist_925,-0.06566620618104935,0.06610351800918579
train,merid_moist_750,-0.011858728714287281,0.024587171152234077
train,merid_moist_925,-0.0011471090838313103,0.05035308748483658
train,skin_temp,301.4488830566406,0.7877572178840637
train,slp,101069.9921875,239.14767456054688
