trial_number,trial_id,objective_value,batch_size,climate_activation,climate_processing,climate_units,dropout_rate,learning_rate,local_dem_units,na,nb,output_activation,regional_dem_units,temporal_units,use_residual,weight_decay
0,526,0.8618464694517706,256,relu,conv2d,1005,0.2,8.511896829547758e-05,64,256,80,softplus,24,8,False,6.358358856676247e-05
1,527,0.8546974034012793,256,relu,conv2d,945,0.30000000000000004,3.548621092076138e-05,16,512,96,softplus,16,8,False,7.523742884534855e-06
2,528,0.8427820311173438,128,relu,conv2d,1080,0.35,7.939900239532824e-05,16,256,160,softplus,24,4,False,8.200518402245835e-06
3,529,0.8560294474874887,128,relu,conv2d,900,0.30000000000000004,3.7478113360623625e-05,64,512,112,softplus,16,8,False,0.0008105016126411582
4,530,0.8414532382165986,1024,relu,conv2d,915,0.35,4.6095654581465385e-05,16,512,80,softplus,8,4,False,6.963114377829292e-06
5,531,0.8424841790319059,128,relu,conv2d,1140,0.35,3.279726502914625e-05,16,768,144,softplus,8,12,False,1.1895896737553539e-05
6,532,0.8390625570998678,128,relu,conv2d,990,0.2,7.080465225136186e-05,32,1024,112,softplus,24,8,False,0.00019158219548093185
7,533,0.8617055996127685,64,relu,conv2d,900,0.35,4.0501477133811916e-05,16,512,112,softplus,8,8,False,1.7027416886764403e-05
8,534,0.8497980043604203,64,relu,conv2d,1185,0.35,5.7429078731213025e-05,64,1024,80,softplus,24,12,False,0.00026443593078398644
9,535,0.8384653926549251,1024,relu,conv2d,1155,0.2,4.504567010596104e-05,64,512,80,softplus,8,8,False,0.0006741074265640696
10,536,0.879361911455505,1024,relu,conv2d,1095,0.25,5.004883025741082e-05,48,768,64,softplus,32,4,False,1.9539180247409003e-06
11,537,0.8460032079501572,512,relu,conv2d,1020,0.2,6.375617776762823e-05,32,1024,128,softplus,32,8,False,0.00013251401863182563
12,538,0.8625069232513966,1024,relu,conv2d,990,0.25,6.752591774648519e-05,48,768,112,softplus,16,12,False,0.0009280495599004668
13,539,0.8641781972324821,512,relu,conv2d,1200,0.2,9.591266287922895e-05,32,1024,64,softplus,24,8,False,0.00029701778225789844
14,540,0.881273768763001,1024,relu,conv2d,1125,0.25,4.593532132634757e-05,48,768,96,softplus,16,12,False,5.8893230321933834e-05
15,541,0.862747737646047,128,relu,conv2d,1050,0.2,6.891044354077295e-05,32,256,128,softplus,32,4,False,0.0003323621618577022
16,542,0.8802513870401213,1024,relu,conv2d,960,0.25,5.52685297413949e-05,48,1024,96,softplus,8,8,False,0.00011147317124969495
17,543,0.869749604574335,128,relu,conv2d,1155,0.2,7.366498723940392e-05,32,768,128,softplus,16,8,False,0.00043156220175211054
18,544,0.8898355281419895,512,relu,conv2d,1065,0.2,6.0471703520733996e-05,64,512,160,softplus,24,12,False,0.00015792609302624794
19,545,0.8601851042749523,64,relu,conv2d,1035,0.30000000000000004,3.0422689751596602e-05,48,256,96,softplus,32,4,False,3.128655097748434e-05
20,546,0.8897724545215291,256,relu,conv2d,1110,0.25,5.050463479345073e-05,32,1024,144,softplus,8,8,False,0.0006785742980230851
21,547,0.8603909053363933,1024,relu,conv2d,945,0.30000000000000004,4.2728025950349415e-05,16,512,80,softplus,8,4,False,3.1119381558033767e-06
22,548,0.8917802608136736,1024,relu,conv2d,975,0.2,4.769876297825746e-05,32,512,64,softplus,8,4,False,1.1731840647047965e-06
23,549,0.8319946173608207,1024,relu,conv2d,930,0.25,3.993505295746409e-05,16,512,80,softplus,16,4,False,4.968785681835326e-06
24,550,0.9296441690155574,1024,relu,conv2d,930,0.25,4.200865606542618e-05,32,768,80,softplus,16,4,False,2.639955039186323e-05
25,551,0.8544814601564871,128,relu,conv2d,990,0.2,3.698707590032708e-05,48,512,96,softplus,24,8,False,3.958558542801607e-06
26,552,0.8737574223466593,1024,relu,conv2d,1170,0.25,5.356086681035994e-05,16,256,64,softplus,16,12,False,4.916297403846137e-05
27,553,0.8757356392385032,1024,relu,conv2d,1020,0.2,3.9741456837991655e-05,64,768,112,softplus,24,8,False,0.0001860027274469183
28,554,0.8847704511715602,128,relu,conv2d,960,0.25,3.340718215308651e-05,32,512,80,softplus,16,4,False,8.38842960802993e-05
29,555,0.8385597918260957,256,relu,conv2d,1020,0.2,9.199108750177942e-05,64,256,80,softplus,24,8,False,0.00047616603469380483
30,556,0.8882867629672245,256,relu,conv2d,1065,0.2,9.69538215977237e-05,64,256,80,softplus,16,8,False,0.000642038513538617
31,557,0.8613080927916554,256,relu,conv2d,1005,0.2,8.805489656159068e-05,64,256,64,softplus,24,8,False,0.0004000377866190384
32,558,0.8993189054674944,256,relu,conv2d,1035,0.2,8.379499303993792e-05,64,256,96,softplus,24,8,False,0.0005293896714354671
33,559,0.93820792823296,256,relu,conv2d,975,0.2,7.613064923736796e-05,64,512,80,softplus,24,8,False,0.00021827134186024709
34,560,0.9075889206611127,256,relu,conv2d,930,0.2,8.75949875791047e-05,48,256,96,softplus,24,8,False,0.0009637063433242013
35,561,0.8391264661689056,128,relu,conv2d,1005,0.30000000000000004,8.137114991272784e-05,16,512,80,softplus,24,8,False,9.670024690357123e-05
36,562,0.9124321039153243,256,relu,conv2d,1080,0.25,4.458183872489292e-05,64,512,144,softplus,32,4,False,0.0005318004298461048
37,563,0.8855286113627757,64,relu,conv2d,930,0.2,3.873366388141499e-05,16,256,96,softplus,8,12,False,1.3489237735372206e-05
38,564,0.8827410367441773,1024,relu,conv2d,900,0.2,3.5003245600960396e-05,48,512,64,softplus,16,8,False,8.166691520624223e-06
39,565,0.8707949036295991,128,relu,conv2d,960,0.25,9.116246941807806e-05,16,768,112,softplus,24,4,False,2.1041217298922953e-05
40,566,0.8917412285865414,512,relu,conv2d,1035,0.30000000000000004,7.202232809136718e-05,64,512,128,softplus,16,8,False,5.507110786096652e-06
41,567,0.8706761659967311,128,relu,conv2d,1005,0.30000000000000004,8.273361623977532e-05,16,512,80,softplus,24,8,False,9.19567847854648e-05
42,568,0.8764999528902785,128,relu,conv2d,990,0.30000000000000004,7.863357339905436e-05,16,512,80,softplus,24,8,False,4.4850789009569986e-05
43,569,0.8532515391327412,128,relu,conv2d,1005,0.30000000000000004,9.937189948862597e-05,16,512,64,softplus,24,8,False,0.00021705127361896086
44,570,0.8490200040700643,128,relu,conv2d,1020,0.30000000000000004,9.1691558092689e-05,16,768,80,softplus,24,8,False,0.00029861414138860964
45,571,0.8539503371854972,1024,relu,conv2d,1050,0.35,8.02918856584389e-05,16,512,96,softplus,32,12,False,0.00013630668450495157
46,572,0.8978380029727329,64,relu,conv2d,1110,0.25,6.22687286161252e-05,32,256,80,softplus,24,8,False,0.00038359848848327295
47,573,0.871510612780169,128,relu,conv2d,975,0.2,6.860393666214802e-05,16,1024,112,softplus,8,8,False,7.488734306898518e-05
48,574,0.846137522304394,1024,relu,conv2d,1200,0.2,5.046880269463206e-05,32,768,64,softplus,16,8,False,0.00026373291009170336
49,575,0.9078866150516355,512,relu,conv2d,915,0.30000000000000004,5.719317647283724e-05,48,512,80,softplus,24,4,False,0.0005108344133789298
