station,n_runs,rmse_mean,rmse_std,mae_mean,mae_std,mbe_mean,mbe_std,r2_mean,r2_std,spearman_r_mean,spearman_r_std
aua,2,19.163903964841168,2.62213804998291,13.696432418198814,4.422698812008827,5.2654129008452095,6.442511751158991,-0.5799165081546936,0.42834062256504885,-0.05222827779915158,0.0027744396131355775
aunuu_UH,2,14.075701616521092,1.6670649274292775,8.18233998663522,1.3474435422001492,-3.1502156162986887,2.5114968420430372,-0.19307458028403773,0.28063688913257423,0.6858678569673997,0.14766912335410184
poloa_UH,2,17.005223584428705,0.9606086006997084,10.163821574375033,1.536514107797084,4.212149046286941,2.515779116157621,-0.04996237158567218,0.11843375204672917,0.646289123263792,0.004385054835560448
siufaga_WRCC,2,15.998263546195634,0.4291512556617418,9.004347837437837,0.017100036373515745,0.5694714305214227,0.19285141330217992,-0.01625420961148083,0.054502154274144864,0.5659820834682725,0.020259354878875396
aasu_UH,2,13.594029923454038,1.866491546582926,8.57308318985528,1.0987122317164413,3.422767955319662,1.3360836241410938,-0.013934573347886947,0.275831120488614,0.6765084886323876,0.00849838060957237
vaipito2000,2,13.873440832151623,0.08912235415998018,8.084173748409876,0.3384806447413938,-0.4128893495246928,0.5846795517000123,0.04336483782446188,0.01229050811873096,0.2494261117325162,0.0048968203908811275
maloata,2,13.793665219930833,0.9341127170685183,9.469456399596016,0.048075333020115484,-0.06474841334098991,2.3341313955983094,0.12870139141529519,0.1177394249966844,0.4878700375808471,0.07454286920921704
vaipito_UH,2,16.962604518093272,0.23760317782257406,9.726105525827588,0.05424505059852425,1.0135191306471825,0.1644474089219005,0.188613908800581,0.022728703245589774,0.691928299041334,0.0034621354891516266
iliili,2,16.316401888590207,0.7265606634133615,10.227462032437323,0.6961048985064939,-0.3984897396394185,1.727946992825402,0.19930009993196246,0.07123884917183414,0.4981472939147126,0.10900509787164722
afono_UH,2,15.069389363987202,0.3096521137523334,7.787413873899032,0.6096687202635516,-0.4829779288209066,2.2508850178562025,0.2580111068728336,0.030486959692472535,0.6572711327973371,0.03038091810232248
aunuu,2,11.85405461262994,0.253902980695437,5.427401412376052,0.15372880540343992,-1.7343652964824992,1.5094960683710759,0.2695372420621532,0.031284508703709725,0.653783942376373,0.023107874859340523
aasufou80,2,20.071884279345625,0.04728209716669737,11.693866173714852,0.19737479817904197,0.9208666555696834,0.7111848313761435,0.2819045387764911,0.003383136799412473,0.582879886343634,0.006502693630514097
aasufou90,2,11.190246774936533,0.46833697687608794,7.326447261816689,0.38927288120843795,-1.8201532745467766,2.453162759111041,0.29617985478334863,0.05886135864346012,0.6552255647677327,0.03465993547456185
pioa_afono,2,16.78598208337504,0.46407090264185946,9.090324741966391,0.785944466169459,0.287442378097267,1.8471835616569847,0.29933129958343235,0.03872704486378406,0.6111358633445685,0.010875632595103853
airport80,2,14.079644477853709,1.6707208786015473,7.48033134852137,0.7404644062313935,-0.2434843639109997,1.3854712397601798,0.3152079311961139,0.16138161424358186,0.7145351103446951,0.004012553802465337
masefau,2,14.025318809164013,0.00436645857763803,6.393147380717776,0.2617396157841491,-3.2579946204342622,1.5787611975582767,0.3179362725626171,0.0004246895075054134,0.4875315147602539,0.04356887962424964
aoloafou,2,22.549062295464978,0.18493764662568823,12.814901533465616,0.5829842719469843,0.07782961713826708,1.9594931612991018,0.34196291182097,0.010793507600945959,0.6719281373501677,0.005407823752644335
fagaitua,2,13.27813278812203,0.5950894543121688,7.7457455470308965,0.6346476048363446,1.7310181407846956,1.5844842935010715,0.34759879735238197,0.058418991467678406,0.6523727564845272,0.0039011314826477342
airport5101,2,12.579882488964929,1.5779453702685386,7.87397518476344,1.1691340524447285,0.8986203946312022,1.9957528165904037,0.34967023935342373,0.16187353224759846,0.6295278509180483,0.02164158123027573
toa_ridge_WRCC,2,14.93036255152789,0.11024462847378896,7.472972866286588,0.04002210974456693,-2.501253319152209,0.6568046694857764,0.37542118062853425,0.009223430790974837,0.6674633763326508,0.021834661038416983
matatula,2,10.221558567087127,0.332023857124926,5.712807683181017,1.1573372159891706,0.8812577824108303,2.463670836688702,0.3775621598585871,0.040415605945476864,0.7455309393019853,0.00772153103916492
satala,2,17.494157083555436,0.233712642449739,9.250406767050146,0.2654914517954848,1.370313933386769,1.239790862861945,0.3943633970438049,0.016180522462222888,0.7094942247887728,0.008631052223620825
malaeimi,2,14.324766914213463,1.57450668575365,9.307198763933293,0.41860868666557666,-1.2387032990538798,1.0611246403420835,0.40298929085206264,0.13045283805099028,0.5334931631228248,0.01071542773358365
malaeimi_1691,2,18.504696317216293,0.06465473889865316,11.012173564925146,0.19997816252129427,-0.5591341989281962,0.7646497116621807,0.4096366625496101,0.00412539106841344,0.667659997722136,0.013225701709699096
vaipito_res,2,18.494175976525362,0.4665411971473171,10.610488485304579,0.029613962704279625,0.35638150495524235,0.8656896131690353,0.4308424237622931,0.02870644193410776,0.6976061771474396,0.010303348763791013
mt_alava,2,15.605943919108988,1.222413462193958,8.882748829200864,0.10314498166574416,-2.5391801419771376,0.12021044784981148,0.4573639759402656,0.08474935728238187,0.6956633765336118,0.006736504643797563
