fold,val_loss_criterion,val_mse_unweighted,val_r2
1,0.15340766310691833,0.15655627846717834,0.8311371803283691
2,0.3344259262084961,0.31685614585876465,0.6286414265632629
3,0.1600629985332489,0.1536226123571396,0.833248496055603
4,0.19151902198791504,0.19619353115558624,0.7994799017906189
5,0.5602703094482422,0.2604396343231201,0.7318038940429688
6,0.16093231737613678,0.1575397402048111,0.8200976252555847
7,0.28507164120674133,0.21734076738357544,0.8070837259292603
8,0.5197793841362,0.2968429625034332,0.7104741930961609
9,0.30249708890914917,0.3212743103504181,0.704983115196228
10,0.22522538900375366,0.22047220170497894,0.692234992980957
11,0.4106392562389374,0.30050554871559143,0.7939866781234741
12,0.23035186529159546,0.2253255397081375,0.7268245220184326
13,0.2529200315475464,0.23768234252929688,0.7770189046859741
14,0.23662719130516052,0.2532302141189575,0.7281347513198853
15,0.5617213249206543,0.34349164366722107,0.7114217281341553
16,0.14485669136047363,0.14249871671199799,0.8315805196762085
17,0.8699334263801575,0.7669849991798401,0.10402971506118774
18,0.3304829001426697,0.3590792715549469,0.6413697004318237
19,0.2048458456993103,0.25614771246910095,0.7432265877723694
20,0.19298717379570007,0.2910555303096771,0.7067712545394897
