,datetime,precip_in
252,09/08/2012,0.23
253,09/09/2012,0.02
254,09/10/2012,0.31
255,09/11/2012,0.03
256,09/12/2012,0.09
257,09/13/2012,0.1
258,09/14/2012,0.96
259,09/15/2012,0.02
260,09/16/2012,0.73
261,09/17/2012,0.0
262,09/18/2012,0.02
263,09/19/2012,0.05
264,09/20/2012,0.0
265,09/21/2012,0.38
266,09/22/2012,0.02
267,09/23/2012,0.0
268,09/24/2012,0.0
269,09/25/2012,0.11
270,09/26/2012,0.0
271,09/27/2012,0.2
272,09/28/2012,0.17
273,09/29/2012,0.14
274,09/30/2012,0.2
275,10/01/2012,0.1
276,10/02/2012,0.0
277,10/03/2012,0.19
278,10/04/2012,0.0
279,10/05/2012,0.01
280,10/06/2012,0.03
281,10/07/2012,0.24
282,10/08/2012,0.25
283,10/09/2012,0.35
284,10/10/2012,0.08
285,10/11/2012,0.02
286,10/12/2012,0.0
287,10/13/2012,1.26
288,10/14/2012,0.01
289,10/15/2012,0.0
290,10/16/2012,1.1
291,10/17/2012,0.26
292,10/18/2012,0.0
293,10/19/2012,0.03
294,10/20/2012,0.77
295,10/21/2012,1.61
296,10/22/2012,0.19
297,10/23/2012,0.08
298,10/24/2012,0.15
299,10/25/2012,0.13
300,10/26/2012,0.53
301,10/27/2012,1.16
302,10/28/2012,0.03
303,10/29/2012,0.06
304,10/30/2012,0.15
305,10/31/2012,0.0
306,11/01/2012,2.0
307,11/02/2012,0.0
308,11/03/2012,0.02
309,11/04/2012,0.31
310,11/05/2012,3.17
311,11/06/2012,0.1
312,11/07/2012,0.0
313,11/08/2012,1.19
314,11/09/2012,1.07
315,11/10/2012,0.65
316,11/11/2012,0.03
317,11/12/2012,0.09
318,11/13/2012,0.06
319,11/14/2012,0.1
320,11/15/2012,1.61
321,11/16/2012,1.2
322,11/17/2012,0.73
323,11/18/2012,0.19
324,11/19/2012,0.16
325,11/20/2012,0.07
326,11/21/2012,0.0
327,11/22/2012,0.0
328,11/23/2012,0.05
329,11/24/2012,0.38
330,11/25/2012,0.01
331,11/26/2012,0.19
332,11/27/2012,0.0
333,11/28/2012,0.0
334,11/29/2012,0.03
335,11/30/2012,0.5
336,12/01/2012,0.85
337,12/02/2012,1.53
338,12/03/2012,0.34
339,12/04/2012,0.93
340,12/05/2012,0.66
341,12/06/2012,0.4
342,12/07/2012,0.49
343,12/08/2012,0.27
344,12/09/2012,0.23
345,12/10/2012,0.03
346,12/11/2012,0.61
347,12/12/2012,2.16
348,12/13/2012,0.65
349,12/14/2012,0.63
350,12/15/2012,0.04
351,12/16/2012,0.13
352,12/17/2012,0.78
353,12/18/2012,0.02
354,12/19/2012,0.31
355,12/20/2012,0.22
356,12/21/2012,0.01
357,12/22/2012,0.09
358,12/23/2012,0.23
359,12/24/2012,0.02
360,12/25/2012,0.19
361,12/26/2012,0.01
362,12/27/2012,0.21
363,12/28/2012,0.0
364,12/29/2012,0.28
365,12/30/2012,0.06
366,12/31/2012,0.21
367,01/01/2013,0.3
368,01/02/2013,0.01
