,datetime,precip_in
256,03/13/1959,0.5
257,03/14/1959,NA
258,03/15/1959,NA
259,03/16/1959,0.05
260,03/17/1959,NA
261,03/18/1959,NA
262,03/19/1959,0.4
263,03/20/1959,NA
264,03/21/1959,NA
265,03/22/1959,NA
266,03/23/1959,NA
267,03/24/1959,1.5
268,03/25/1959,0.35
269,03/26/1959,0.4
270,03/27/1959,0.3
271,03/28/1959,NA
272,03/29/1959,NA
273,03/30/1959,NA
274,03/31/1959,NA
275,04/01/1959,NA
276,04/02/1959,0.45
277,04/03/1959,0.35
278,04/04/1959,0.4
279,04/05/1959,0.5
280,04/06/1959,0.1
281,04/07/1959,0.15
282,04/08/1959,0.25
283,04/09/1959,NA
284,04/10/1959,1.0
285,04/11/1959,NA
286,04/12/1959,0.5
287,04/13/1959,0.2
288,04/14/1959,NA
289,04/15/1959,NA
290,04/16/1959,NA
291,04/17/1959,0.35
292,04/18/1959,1.15
293,04/19/1959,0.9
294,04/20/1959,0.4
295,04/21/1959,1.35
296,04/22/1959,NA
297,04/23/1959,NA
298,04/24/1959,NA
299,04/25/1959,1.1
300,04/26/1959,0.7
301,04/27/1959,NA
302,04/28/1959,NA
303,04/29/1959,NA
304,04/30/1959,1.5
305,05/01/1959,4.4
306,05/02/1959,0.9
307,05/03/1959,0.25
308,05/04/1959,NA
309,05/05/1959,0.3
310,05/06/1959,NA
311,05/07/1959,0.75
312,05/08/1959,NA
313,05/09/1959,1.0
314,05/10/1959,0.1
315,05/11/1959,1.2
316,05/12/1959,0.3
317,05/13/1959,NA
318,05/14/1959,NA
319,05/15/1959,0.35
320,05/16/1959,1.2
321,05/17/1959,0.1
322,05/18/1959,0.85
323,05/19/1959,0.15
324,05/20/1959,0.35
325,05/21/1959,NA
326,05/22/1959,NA
327,05/23/1959,NA
328,05/24/1959,1.0
329,05/25/1959,NA
330,05/26/1959,NA
331,05/27/1959,0.45
332,05/28/1959,NA
333,05/29/1959,0.85
334,05/30/1959,1.9
335,05/31/1959,0.2
336,06/01/1959,0.15
337,06/02/1959,1.2
338,06/03/1959,NA
339,06/04/1959,NA
340,06/05/1959,NA
341,06/06/1959,NA
342,06/07/1959,0.95
343,06/08/1959,0.6
344,06/09/1959,NA
345,06/10/1959,0.85
346,06/11/1959,NA
347,06/12/1959,1.4
348,06/13/1959,0.9
349,06/14/1959,0.1
350,06/15/1959,NA
351,06/16/1959,NA
352,06/17/1959,NA
353,06/18/1959,NA
354,06/19/1959,2.75
355,06/20/1959,NA
356,06/21/1959,NA
357,06/22/1959,0.15
358,06/23/1959,0.15
359,06/24/1959,0.1
360,06/25/1959,2.5
361,06/26/1959,0.15
362,06/27/1959,0.15
