Metric,Value,Unit
R²,0.38279253244400024,dimensionless
MSE,0.5493881702423096,normalized²
RMSE,0.7412072383903908,normalized
MAE,0.35982826352119446,normalized
RMSE,16.319676716912355,mm
MAE,7.92258882522583,mm
