Metric,Value,Unit
R²,0.7671944499015808,dimensionless
MSE,0.26146671175956726,normalized²
RMSE,0.5113381579342258,normalized
MAE,0.33851173520088196,normalized
RMSE,102.87603944644982,mm
MAE,68.10511779785156,mm
