fold,val_loss_criterion,val_mse_unweighted,val_r2
1,0.24971778690814972,0.2001400887966156,0.775825023651123
2,0.27716532349586487,0.2061910480260849,0.7729912400245667
3,0.20577698945999146,0.21095070242881775,0.7800788879394531
4,0.60959792137146,0.3908790946006775,0.5967003107070923
5,0.27634644508361816,0.205829918384552,0.7934313416481018
6,0.4453122317790985,0.26843729615211487,0.7335968017578125
7,0.3441341519355774,0.2926819324493408,0.7227792739868164
8,0.3429874777793884,0.22232329845428467,0.7505064010620117
9,0.3125479519367218,0.24138158559799194,0.7911941409111023
10,0.2991980016231537,0.22968696057796478,0.7703323364257812
11,0.44115009903907776,0.2654108703136444,0.773143470287323
12,0.12799055874347687,0.12058360874652863,0.8615533709526062
13,0.6290422677993774,0.31826868653297424,0.6260319948196411
14,0.22152046859264374,0.2175660878419876,0.7785302400588989
15,0.36799249053001404,0.29507067799568176,0.7158849239349365
