year_month,monthly_total_precip_in
2001-05,6.6535433059999995
2001-06,10.114173229
2001-07,4.999999998
2001-08,1.850393702
2001-09,5.692913386
2001-10,8.992125985
2001-11,8.110236221000001
2001-12,16.500000002
2002-01,7.232283465
2002-02,5.208661418
2002-03,7.944881888
2002-04,11.976377955
2002-05,9.283464567
2002-06,0.0
