fold,val_loss_criterion,val_mse_unweighted,val_r2
1,0.428314208984375,0.428314208984375,0.48612499237060547
2,0.5402328968048096,0.5402328968048096,0.5139651298522949
3,0.5435140132904053,0.5435140132904053,0.4240295886993408
4,0.4034614562988281,0.4034614562988281,0.49891000986099243
5,0.3987726867198944,0.3987726867198944,0.4880557060241699
6,0.33413639664649963,0.33413639664649963,0.6015981435775757
7,0.38640281558036804,0.38640281558036804,0.5064203143119812
8,0.45235347747802734,0.45235347747802734,0.5893394947052002
9,0.6518340706825256,0.6518340706825256,0.4720638394355774
10,0.5067163705825806,0.5067163705825806,0.633965253829956
11,0.5430657267570496,0.5430657267570496,0.43952441215515137
12,0.5206037759780884,0.5206037759780884,0.5307482481002808
13,0.6806952357292175,0.6806952357292175,0.5304749011993408
14,0.47008970379829407,0.47008970379829407,0.6367313861846924
15,0.5006152987480164,0.5006152987480164,0.44441521167755127
16,0.3941289782524109,0.3941289782524109,0.5573669672012329
17,0.2794189155101776,0.2794189155101776,0.5980944037437439
18,0.35008805990219116,0.35008805990219116,0.6310415267944336
19,0.43184247612953186,0.43184247612953186,0.5544500946998596
20,0.6288894414901733,0.6288894414901733,0.3434928059577942
21,0.3585120141506195,0.3585120141506195,0.4841430187225342
22,0.33037811517715454,0.33037811517715454,0.5363894701004028
23,0.9633654952049255,0.9633654952049255,0.37919044494628906
24,0.6391016244888306,0.6391016244888306,0.4448498487472534
25,0.3414367437362671,0.3414367437362671,0.5863453149795532
