Metric,Value,Unit
R²,0.39242786169052124,dimensionless
MSE,0.5408115983009338,normalized²
RMSE,0.735398938196768,normalized
MAE,0.3699433207511902,normalized
RMSE,16.19179121602064,mm
MAE,8.145298957824707,mm
