fold,val_loss_criterion,val_mse_unweighted,val_r2
1,0.4575423300266266,0.4575423300266266,0.5368674993515015
2,0.4264720007777214,0.4264720007777214,0.5564286708831787
3,0.3713020086288452,0.3713020086288452,0.5877511501312256
4,0.4675714299082756,0.4675714299082756,0.5621752738952637
5,0.44543080031871796,0.44543080031871796,0.5826716423034668
6,0.4272092878818512,0.4272092878818512,0.5949269533157349
7,0.47664325684309006,0.47664325684309006,0.4923474192619324
8,0.511420801281929,0.511420801281929,0.5493055582046509
9,0.42380341142416,0.42380341142416,0.5444341897964478
10,0.3795584589242935,0.3795584589242935,0.5663622617721558
