Metric,Value,Unit
R²,0.6027259826660156,dimensionless
MSE,0.4192948043346405,normalized²
RMSE,0.6475297710025698,normalized
MAE,0.30927857756614685,normalized
RMSE,15.567789795008233,mm
MAE,7.435616970062256,mm
