split,n_total,n_wet,pct_zero,mean_wet,std_wet,median_wet,max_wet,exponential_aic,exponential_bic,exponential_ks_stat,exponential_ks_pval,exponential_params,gamma_aic,gamma_bic,gamma_ks_stat,gamma_ks_pval,gamma_params,lognormal_aic,lognormal_bic,lognormal_ks_stat,lognormal_ks_pval,lognormal_params,weibull_aic,weibull_bic,weibull_ks_stat,weibull_ks_pval,weibull_params,best_dist_aic
train,36892,20789,43.64902959991326,18.86871,27.439999,8.636,467.36,163154.07926755102,163169.96362611032,0.1617236119123493,0.0,"(0.2540000081062317, 18.614709854125977)",358967.22491726134,358991.0514551003,0.8143473606359858,0.0,"(np.float64(0.10149194526806052), np.float64(0.25400000810623163), np.float64(3.6626120916727523))",160571.6816642423,160595.50820208123,0.056927642376453036,5.30017957187178e-59,"(np.float32(1.3835758), -0.057077126576197075, np.float32(8.316024))",inf,inf,0.0651305979107763,4.097234618480531e-77,"(np.float64(0.6904131061631102), np.float64(0.762000024318695), np.float64(13.743528333523553))",lognormal
val_spatial,5706,4289,24.833508587451806,14.078615,21.386131,6.096,208.026,31111.69376269723,31124.42138046626,0.16744179675805773,1.4106983143781216e-105,"(0.2540000081062317, 13.824615478515625)",43951.68801170546,43970.77943835901,0.6845907125014092,0.0,"(np.float64(0.12996144537162313), np.float64(0.25400000810623163), np.float64(4.160578459702149))",30061.74858069889,30080.840007352443,0.29404336779774454,0.0,"(np.float32(4.983746), np.float32(0.25399998), np.float32(1.6139705))",21890.373087613203,21909.464514266754,0.1424987440088996,1.867441119030569e-76,"(np.float64(0.4907797749991544), np.float64(0.25400000810623163), np.float64(7.525918566413665))",weibull
test_spatial,2434,1722,29.252259654889073,11.592843,16.562088,5.080003,135.636,11810.838576052021,11821.741059421996,0.16817023851287966,4.864025983223863e-43,"(0.2540000081062317, 11.33884334564209)",7757.118387366598,7773.472112421561,0.10284069716108699,2.611418754329077e-16,"(np.float64(0.4263016249501128), np.float64(0.25400000810623163), np.float64(21.38180250827712))",11239.440094660182,11255.793819715145,0.30089541862595465,8.83165733538569e-139,"(np.float32(5.090501), np.float32(0.25399998), np.float32(1.2403919))",9217.056452175799,9233.410177230762,0.09906895161078222,3.6483383821345905e-15,"(np.float64(0.6630155107609804), np.float64(0.25400000810623163), np.float64(12.568344801882684))",gamma
val_temporal,833,613,26.410564225690276,13.46573,22.622755,5.08,181.356,4394.4347444777995,4403.271474349672,0.2013526757988664,2.9129146024673947e-22,"(0.2540000081062317, 13.211730003356934)",2629.893548828817,2643.148643636626,0.12461390375858616,9.351773087843968e-09,"(np.float64(0.5382954875777124), np.float64(0.25400000810623163), np.float64(29.146065983225377))",4050.6255028644973,4063.880597672306,0.30621644975818574,1.6078686906395302e-51,"(np.float32(5.304302), np.float32(0.25399998), np.float32(1.2356353))",2771.797372126645,2785.0524669344536,0.13144683476799468,1.0733890062653036e-09,"(np.float64(0.5802534254980536), np.float64(0.25400000810623163), np.float64(13.745490795981183))",gamma
test_temporal,366,234,36.0655737704918,12.281041,17.943558,4.8260026,137.92407,1635.989710807634,1642.9003530383495,0.2012999406365858,8.67368974551204e-09,"(0.25400012731552124, 12.0270414352417)",1338.5854453771094,1348.9514087231826,0.5425217642075386,4.798262368682275e-65,"(np.float64(0.2056599829318702), np.float64(0.2540001273155212), np.float64(6.314406875140335))",1570.0661115266762,1580.4320748727494,0.31418409469924424,5.0042650864435856e-21,"(np.float32(5.1272283), np.float32(0.2540001), np.float32(1.3344481))",1118.166988836262,1128.532952182335,0.09506856324050939,0.027196311138950824,"(np.float64(0.6140378881575083), np.float64(0.2540001273155212), np.float64(12.519023200813916))",weibull
