split,p,mu,mean_unit_deviance
train,1.1,10.632700604783775,21.14033934006412
train,1.15,10.632700604783775,18.890469764156418
train,1.2,10.632700604783775,16.9478584946212
train,1.25,10.632700604783775,15.271672013252893
train,1.3,10.632700604783775,13.827814270933962
train,1.35,10.632700604783775,12.58808500252177
train,1.4,10.632700604783775,11.529581076201545
train,1.45,10.632700604783775,10.634362523957625
train,1.5,10.632700604783775,9.889449806953031
train,1.55,10.632700604783775,9.287302762185918
train,1.6,10.632700604783775,8.827104601968248
train,1.65,10.632700604783775,8.51756468549104
train,1.7,10.632700604783775,8.382925042727885
train,1.75,10.632700604783775,8.476570707353979
train,1.8,10.632700604783775,8.915463423311255
train,1.85,10.632700604783775,9.983891486888588
train,1.9,10.632700604783775,12.549025207989814
val_spatial,1.1,10.582400538118689,17.356293256067072
val_spatial,1.15,10.582400538118689,15.489013121164898
val_spatial,1.2,10.582400538118689,13.867669798660055
val_spatial,1.25,10.582400538118689,12.460012151993938
val_spatial,1.3,10.582400538118689,11.238801351196447
val_spatial,1.35,10.582400538118689,10.181175866444377
val_spatial,1.4,10.582400538118689,9.268175244960293
val_spatial,1.45,10.582400538118689,8.484432405344464
val_spatial,1.5,10.582400538118689,7.81807002074994
val_spatial,1.55,10.582400538118689,7.260884558587442
val_spatial,1.6,10.582400538118689,6.809000171420673
val_spatial,1.65,10.582400538118689,6.464396936646403
val_spatial,1.7,10.582400538118689,6.238270725009326
val_spatial,1.75,10.582400538118689,6.158726858181331
val_spatial,1.8,10.582400538118689,6.290327606977856
val_spatial,1.85,10.582400538118689,6.793081913310304
val_spatial,1.9,10.582400538118689,8.158837576432159
test_spatial,1.1,8.201673929183917,14.127005031548425
test_spatial,1.15,8.201673929183917,12.798601375082688
test_spatial,1.2,8.201673929183917,11.63407341240326
test_spatial,1.25,8.201673929183917,10.614330585907782
test_spatial,1.3,8.201673929183917,9.723242055510523
test_spatial,1.35,8.201673929183917,8.947363195498744
test_spatial,1.4,8.201673929183917,8.275770265032513
test_spatial,1.45,8.201673929183917,7.700028196197169
test_spatial,1.5,8.201673929183917,7.2143445168140845
test_spatial,1.55,8.201673929183917,6.816017023270666
test_spatial,1.6,8.201673929183917,6.5063974020618405
test_spatial,1.65,8.201673929183917,6.292853547226416
test_spatial,1.7,8.201673929183917,6.192863384324295
test_spatial,1.75,8.201673929183917,6.243191891498803
test_spatial,1.8,8.201673929183917,6.523013025234466
test_spatial,1.85,8.201673929183917,7.223476843977638
test_spatial,1.9,8.201673929183917,8.926232499789826
val_temporal,1.1,9.909354156949798,18.05776508568012
val_temporal,1.15,9.909354156949798,16.108199160820945
val_temporal,1.2,9.909354156949798,14.417909980223232
val_temporal,1.25,9.909354156949798,12.952484892974647
val_temporal,1.3,9.909354156949798,11.682928939809367
val_temporal,1.35,9.909354156949798,10.584965031555871
val_temporal,1.4,9.909354156949798,9.638508624089665
val_temporal,1.45,9.909354156949798,8.827326049513477
val_temporal,1.5,9.909354156949798,8.138913384085027
val_temporal,1.55,9.909354156949798,7.564683972024001
val_temporal,1.6,9.909354156949798,7.100657770123204
val_temporal,1.65,9.909354156949798,6.749082222738139
val_temporal,1.7,9.909354156949798,6.522002363045253
val_temporal,1.75,9.909354156949798,6.449440903756645
val_temporal,1.8,9.909354156949798,6.600185696949961
val_temporal,1.85,9.909354156949798,7.144524766877141
val_temporal,1.9,9.909354156949798,8.605650198218072
test_temporal,1.1,7.851812952203177,15.128426021711789
test_temporal,1.15,7.851812952203177,13.729900813019224
test_temporal,1.2,7.851812952203177,12.505855299486914
test_temporal,1.25,7.851812952203177,11.436066039878844
test_temporal,1.3,7.851812952203177,10.503548879251547
test_temporal,1.35,7.851812952203177,9.694273011332369
test_temporal,1.4,7.851812952203177,8.997002039769303
test_temporal,1.45,7.851812952203177,8.403293555140534
test_temporal,1.5,7.851812952203177,7.90772327362613
test_temporal,1.55,7.851812952203177,7.508467021833505
test_temporal,1.6,7.851812952203177,7.208515054632673
test_temporal,1.65,7.851812952203177,7.018114364552456
test_temporal,1.7,7.851812952203177,6.959836058549677
test_temporal,1.75,7.851812952203177,7.079907353494926
test_temporal,1.8,7.851812952203177,7.476734250541706
test_temporal,1.85,7.851812952203177,8.386685295045954
test_temporal,1.9,7.851812952203177,10.527498644542954
