fold,val_loss_criterion,val_mse_unweighted,val_r2
1,0.28864916414022446,0.23029788583517075,0.7422000169754028
2,0.30793289095163345,0.23254816234111786,0.7419267892837524
3,0.16528553515672684,0.16073066741228104,0.8316740989685059
4,0.33133740723133087,0.2266552895307541,0.7658078074455261
5,0.2335168793797493,0.20132598280906677,0.8004127740859985
6,0.39047175645828247,0.29345519840717316,0.7038935422897339
7,0.29506322741508484,0.30866576731204987,0.7093948721885681
8,0.31462983042001724,0.26130370795726776,0.7073147892951965
9,0.2657434195280075,0.2795410826802254,0.7563520073890686
10,0.23259982466697693,0.1979834958910942,0.7998865842819214
11,0.49690742790699005,0.2860139533877373,0.751434862613678
12,0.16184838488698006,0.1612112745642662,0.8120837211608887
13,0.4459043890237808,0.2427445873618126,0.7150146961212158
14,0.2607431411743164,0.25846871733665466,0.7442399263381958
15,0.28591684252023697,0.22510835528373718,0.7859024405479431
