Metric,Value,Unit
R²,0.7174389362335205,dimensionless
MSE,0.3173477351665497,normalized²
RMSE,0.5633362540850266,normalized
MAE,0.3745599687099457,normalized
RMSE,113.33752912346598,mm
MAE,75.35765838623047,mm
