Metric,Value,Unit
R²,0.7949972152709961,dimensionless
MSE,0.23024111986160278,normalized²
RMSE,0.4798344713144344,normalized
MAE,0.3121985197067261,normalized
RMSE,96.53781541286037,mm
MAE,62.8111686706543,mm
