fold,val_loss_criterion,val_mse_unweighted,val_r2
1,0.22063928842544556,0.20549793541431427,0.7698237895965576
2,0.29657137393951416,0.22942200303077698,0.7474148273468018
3,0.15242089331150055,0.16096775233745575,0.832187294960022
4,0.4126591384410858,0.2086661159992218,0.784703254699707
5,0.2222200483083725,0.17125992476940155,0.8281254768371582
6,0.4036259353160858,0.340106725692749,0.6624705195426941
7,0.2929708659648895,0.2952272295951843,0.7203683853149414
8,0.37354013323783875,0.2598875164985657,0.7083513736724854
9,0.25769945979118347,0.24304668605327606,0.7897537350654602
10,0.20905953645706177,0.17345097661018372,0.8265635967254639
11,0.4013230502605438,0.26661548018455505,0.7721138596534729
12,0.1359013468027115,0.1365765929222107,0.8394519090652466
13,0.4666171371936798,0.25863027572631836,0.6961076259613037
14,0.2527284324169159,0.23902627825737,0.7566849589347839
15,0.31054994463920593,0.27582958340644836,0.7344115376472473
