fold,val_loss_criterion,val_mse_unweighted,val_r2
1,0.5950281620025635,0.5950281620025635,0.5379084348678589
2,0.4341481328010559,0.4341481328010559,0.4153209924697876
3,0.3702920377254486,0.3702920377254486,0.5049395561218262
4,0.776096522808075,0.776096522808075,0.49226850271224976
5,0.5469197630882263,0.5469197630882263,0.5769348740577698
6,0.3341805040836334,0.3341805040836334,0.5179204940795898
7,0.3639059066772461,0.3639059066772461,0.5991895198822021
8,0.5631046295166016,0.5631046295166016,0.4699692726135254
9,0.4205780029296875,0.4205780029296875,0.5028626918792725
10,0.42251068353652954,0.42251068353652954,0.5855790972709656
11,0.43315452337265015,0.43315452337265015,0.6552544236183167
12,0.4455248713493347,0.4455248713493347,0.6537264585494995
13,0.4676578640937805,0.4676578640937805,0.4505300521850586
14,0.39674463868141174,0.39674463868141174,0.5961745381355286
15,0.3855173885822296,0.3855173885822296,0.560219407081604
16,0.5494335293769836,0.5494335293769836,0.40290695428848267
17,0.4062391519546509,0.4062391519546509,0.6589332818984985
18,0.5974499583244324,0.5974499583244324,0.516197681427002
19,0.48630577325820923,0.48630577325820923,0.4747433066368103
20,0.5744115710258484,0.5744115710258484,0.5146714448928833
21,0.5207476019859314,0.5207476019859314,0.5454916954040527
22,0.3942003548145294,0.3942003548145294,0.46555525064468384
23,0.4354829490184784,0.4354829490184784,0.5420217514038086
24,0.3908674418926239,0.3908674418926239,0.5890986919403076
25,0.38772180676460266,0.38772180676460266,0.42160171270370483
