trial,value,local_dem_cfg,regional_dem_cfg,climate_units,dem_units,dem_patch_size,temporal_units,na,nb,dropout_rate,learning_rate,weight_decay,batch_size
0,238.95854335670526,2,7,816,160,4,16,64,112,0.30000000000000004,0.0003470266988650413,1.2674255898937194e-08,128
1,236.84585873230108,1,2,656,112,5,48,144,48,0.2,1.9069966103000435e-05,8.431013932082453e-05,512
2,246.13941697877343,4,1,304,256,12,64,320,16,0.35000000000000003,1.5876781526924002e-05,4.075596440072863e-08,512
3,241.06881961796964,4,2,656,144,4,64,800,128,0.45,9.761125443110459e-05,0.00040679084943595444,1024
4,250.52013391246723,2,2,896,96,5,48,160,112,0.0,0.008598737339212284,7.26480307482672e-05,512
5,239.65342423771241,5,6,304,96,4,64,640,48,0.0,3.5884889113862586e-06,4.225874644996158e-07,512
6,238.67142227078435,0,5,848,144,10,32,544,64,0.0,3.463037026119184e-07,1.4359718569878066e-08,1024
7,245.40005796061368,1,3,848,64,3,32,176,128,0.4,0.00014689898077648803,0.0002276685024868624,512
8,238.86855512936555,5,7,496,32,5,32,848,112,0.0,3.578792453502323e-05,1.2219544456335422e-06,1024
9,242.06402554978675,2,4,800,96,12,64,272,64,0.15000000000000002,2.6558434508499886e-06,1.5290959455830345e-08,128
10,253.49680923995095,0,0,560,208,7,48,384,16,0.2,1.1522742262755001e-07,1.3278709000793399e-05,256
11,247.39370411562606,0,5,1008,176,9,16,576,48,0.1,1.1474267691176831e-07,1.1101184411738419e-05,1024
12,244.11872903046898,0,4,688,208,9,32,1024,80,0.1,1.1738980693148373e-06,1.7298272615473692e-07,256
13,246.22352957081793,1,5,1024,128,10,48,464,80,0.25,0.001513132603598076,2.0363436613258102e-05,1024
14,270.4947744678748,1,3,464,128,7,32,16,48,0.5,5.937742402508576e-07,2.5602469109318745e-06,512
15,245.37433045636814,3,0,736,16,10,48,704,32,0.1,8.392039860962545e-06,0.0009907164739718863,1024
16,238.87652173745542,1,2,592,192,6,16,448,64,0.2,8.756781015730398e-07,5.9050721660830444e-05,128
17,245.18028791812148,6,5,960,64,9,32,544,96,0.30000000000000004,0.0008739142826950887,1.0237703794488223e-06,256
18,248.7169875952899,0,6,752,112,6,48,208,32,0.05,2.8664504176900364e-07,7.081199555210678e-08,1024
19,234.14480103389664,3,1,912,240,11,32,752,64,0.2,4.491372752434131e-05,5.17058080990896e-06,512
20,239.16305087169198,3,1,464,240,8,48,992,32,0.2,3.521074936793368e-05,5.269184786043518e-06,512
21,238.19318892137758,2,1,928,224,11,32,768,64,0.15000000000000002,1.0280170609344133e-05,4.997529924803829e-05,512
22,244.22152005751136,3,1,896,240,11,32,864,80,0.15000000000000002,1.2259350372603764e-05,4.7856862520283884e-05,512
23,239.8233678861399,2,1,944,224,11,16,736,48,0.25,7.794803404199982e-05,0.00015005276732368118,512
24,245.5043079137407,4,0,736,256,11,32,928,64,0.15000000000000002,3.936748183863751e-06,5.446157821235562e-06,512
25,234.774709459857,2,2,368,176,8,48,688,96,0.25,2.4518988854409653e-05,2.6565614643859403e-05,512
26,237.7553447577145,3,2,400,176,6,48,656,96,0.25,0.0002271500246112289,2.2855916186237503e-05,512
27,236.8073668214474,1,3,256,176,7,48,624,96,0.30000000000000004,4.4565754038295254e-05,1.7421927788186498e-06,512
28,236.72648674048673,3,3,256,176,8,48,624,96,0.35000000000000003,5.076461704546543e-05,1.3525667345737107e-06,512
29,245.4432609256594,4,3,384,160,8,64,704,112,0.35000000000000003,0.0005629104935045322,5.145591427721286e-07,128
30,238.2233559898239,3,4,384,192,8,16,464,96,0.35000000000000003,0.0003308352202260768,5.137114893203565e-06,512
31,238.17812017952903,2,3,256,160,7,48,624,96,0.30000000000000004,5.85706327880603e-05,1.8430530652408975e-06,512
32,234.68762830468162,3,2,256,176,8,48,624,112,0.4,2.9223864843286095e-05,4.4448948570070273e-07,512
33,237.45501340463701,3,2,336,192,9,48,800,128,0.4,2.136870814451775e-05,4.690790600319206e-07,512
34,244.12720047332516,4,2,352,160,8,48,688,112,0.4,0.00014361469558599443,1.6097046567837652e-07,512
35,243.40201644079949,4,2,304,208,10,64,864,80,0.5,1.9867814234456553e-05,2.4614864844278503e-07,512
36,238.7687519129911,5,1,256,224,9,48,576,96,0.45,5.622449163497704e-06,8.122303946800119e-07,512
37,276.91190461341967,2,2,336,144,8,64,800,112,0.35000000000000003,0.0036385066786757967,8.354449240734326e-06,256
38,238.37650754287338,3,3,432,176,12,48,512,128,0.45,0.00011170921667568022,2.93639164403151e-06,128
39,239.81876119262662,2,0,544,240,5,32,368,80,0.4,2.4313933408888362e-05,6.447544961795636e-08,512
40,249.5860995499132,4,1,288,144,3,48,752,112,0.30000000000000004,2.269998626146328e-06,1.9416056257031004e-05,512
41,236.02073879679907,1,3,256,176,7,48,624,96,0.30000000000000004,3.6894895675521506e-05,2.173538097944553e-06,512
42,239.23887439116288,3,4,304,192,6,48,592,96,0.35000000000000003,6.196613000087443e-05,3.8403512817560035e-06,512
43,239.6852102053468,2,3,352,112,7,64,672,112,0.25,6.702536669754961e-06,7.072915485449817e-07,512
44,236.6828998572214,1,2,288,160,8,48,528,80,0.30000000000000004,3.323541304106257e-05,3.1327148196808483e-07,512
45,233.87911408285802,1,2,304,160,7,48,496,80,0.30000000000000004,0.00020861183476462996,2.6180827358152446e-07,512
46,238.0162988354823,1,2,512,144,6,32,416,80,0.2,0.00017664752028874199,1.0603202834609007e-07,512
47,243.22270139632806,1,1,624,208,5,48,336,64,0.25,0.00040605802900941135,4.092989199812971e-08,256
48,236.41402334541536,2,2,400,128,7,32,912,128,0.25,1.4287095328893888e-05,2.876863140667327e-05,128
49,241.05149712557105,0,1,432,80,4,48,512,80,0.2,8.151545164257098e-05,9.222815036710681e-06,512
50,241.9487872999097,1,4,816,160,9,64,480,112,0.30000000000000004,0.0002707268596042901,0.0001060070549029881,512
51,234.67892543918512,2,2,320,128,7,32,960,128,0.25,1.291796678750879e-05,3.78634017538023e-05,128
52,237.79390262936445,2,2,320,112,7,32,720,128,0.2,1.6779585252505235e-05,1.5135189859614307e-05,128
53,234.95937562902677,2,3,288,128,6,32,800,112,0.25,2.9274609982290635e-05,3.3334754580755644e-05,128
54,240.2337681610019,2,1,368,128,6,32,944,112,0.25,0.00010105666942981497,0.0003433295716827318,128
55,234.22846957409362,2,2,432,96,6,32,816,128,0.25,9.308419257792308e-06,0.00010855716293402281,128
56,238.9992132719547,3,0,416,96,5,32,976,128,0.2,4.631447755836344e-06,9.609755556543351e-05,128
57,240.0933949597712,2,2,480,48,9,16,832,128,0.15000000000000002,1.952926974414829e-06,0.00022655789708044146,128
58,235.64661877720388,3,1,336,80,7,32,832,128,0.45,9.183071648560933e-06,0.0008391398476381652,128
59,247.4599499717881,2,2,448,112,10,32,768,48,0.1,0.001346240082105204,3.9526842616577296e-05,1024
60,239.71871674464487,3,2,528,80,6,32,880,64,0.25,1.2692874450685102e-05,0.00013746340582519509,128
61,236.78449721714549,2,3,288,96,6,32,1024,112,0.25,2.8813036118675643e-05,6.1097684318873e-05,128
62,237.11595956512556,2,2,368,128,5,32,784,128,0.2,3.285088777186598e-06,3.537054238853881e-05,128
63,235.11933295984088,2,2,288,112,6,32,736,112,0.30000000000000004,8.18823279687618e-06,8.02542998563317e-05,128
64,236.30131130711013,1,3,704,144,7,16,896,128,0.25,2.5636745058382272e-05,1.5784806257895804e-05,128
65,237.26783511781454,3,7,320,144,8,32,976,112,0.15000000000000002,5.016020092364192e-05,2.8314003797778976e-05,256
66,242.2374415416864,0,1,368,256,6,32,832,96,0.2,1.5293504069812775e-06,0.00018422481243417175,128
67,238.90248921234584,2,4,992,128,7,32,672,112,0.25,1.62372052090981e-05,7.144765619835059e-06,1024
68,244.14749925534065,3,2,784,64,4,48,96,128,0.30000000000000004,1.0442921864140972e-05,2.284480462886495e-08,128
69,236.49763485268133,1,1,576,192,12,32,576,64,0.25,0.0001377690305132276,0.0004569464167986947,128
70,237.64713215175925,6,6,864,160,8,48,656,48,0.30000000000000004,6.786483551678713e-06,1.1311558440712996e-05,512
71,232.16412378336085,2,2,288,112,6,32,736,112,0.30000000000000004,8.233803803970304e-06,7.565586261350708e-05,128
72,238.74651618614928,2,2,320,96,6,32,736,112,0.35000000000000003,4.49571311901302e-06,6.36705930846939e-05,128
73,238.78249419852582,2,3,272,128,7,32,688,96,0.4,2.128028974550772e-05,4.2925743724876646e-05,128
74,239.79161189300547,5,2,352,96,5,32,816,112,0.30000000000000004,6.85729354202687e-05,0.0001307749949699613,128
75,238.63702200521547,3,3,272,176,5,16,592,128,0.2,4.0636689904154396e-05,2.2759617628341256e-05,256
76,250.89481997409007,4,1,304,112,7,32,768,112,0.30000000000000004,1.2483460367003273e-05,3.4928664950533445e-07,512
77,240.6250704597546,2,2,400,144,6,48,704,80,0.25,2.6862835338428215e-05,1.8504609084735512e-07,1024
78,235.7645418407085,1,3,336,80,8,32,864,96,0.25,5.774574061162879e-06,8.664629445548941e-05,128
79,238.04144915851103,2,0,272,96,7,48,800,128,0.5,1.8801017062753562e-05,1.2085387193223235e-06,512
80,236.84685236529842,3,2,656,112,6,32,640,96,0.2,4.21200001741842e-05,0.0002866812907599686,512
81,237.05313046304704,2,2,288,112,6,32,752,112,0.35000000000000003,9.297430631261284e-06,6.242826905130986e-05,128
82,239.11849512459708,2,2,320,128,6,32,720,112,0.30000000000000004,3.1669975672439037e-06,8.42027263613661e-05,128
83,237.49790968356464,2,2,272,144,10,32,944,112,0.30000000000000004,7.620895458647162e-06,3.0249917867412736e-05,128
84,238.09889254318196,1,1,304,208,5,32,720,112,0.30000000000000004,1.3240500870170086e-05,6.40242455341163e-07,128
85,266.28394853845833,3,3,384,160,7,48,784,128,0.35000000000000003,0.009515892460952425,5.242787026151807e-05,128
86,233.81896412974604,2,2,256,112,11,32,544,96,0.25,1.7616618605840488e-05,0.00017188853573279006,512
87,235.92131838770555,2,1,256,224,11,48,432,80,0.2,0.0006304560680734492,0.00011520754033706003,512
88,238.53669116454535,1,3,352,176,11,32,480,16,0.25,3.108160117824088e-05,0.00048305302486086,512
89,235.16932916136682,2,2,336,128,10,48,608,64,0.25,7.4768038789299e-05,0.0001897090684054585,512
90,246.0607791629678,3,1,256,112,12,32,544,80,0.25,1.821154805725416e-05,1.6885038047834413e-05,512
91,237.1965888237995,2,2,288,96,11,32,672,96,0.25,5.520568164904961e-06,7.923869051331734e-05,512
92,238.11586852011374,2,2,624,112,6,32,736,112,0.30000000000000004,1.0252030003822261e-05,3.877898434853351e-06,128
93,236.02312778926247,2,2,304,128,8,32,560,96,0.2,7.963032280816198e-06,0.00016154878107779702,512
94,239.43057744598877,3,2,288,96,9,32,640,128,0.30000000000000004,5.553091358297766e-05,1.0841188888507884e-07,512
95,235.88641946638396,2,2,272,240,7,32,240,112,0.25,2.371254692535579e-05,4.433437224829146e-05,128
96,237.986860443927,1,3,320,144,11,32,688,96,0.30000000000000004,1.5029755142895309e-05,0.00010418837377924113,256
97,240.70278065751435,3,2,368,128,6,48,400,64,0.4,2.659501185650318e-06,2.522831552694378e-05,512
98,242.23924946476924,2,1,336,192,12,16,848,112,0.2,0.0055356025153554715,0.0002349952929032196,128
99,237.79276332427972,1,3,416,80,8,32,752,80,0.45,0.00010695659087689346,3.787142306303522e-05,1024
