fold,val_loss_criterion,val_mse_unweighted,val_r2
1,0.509971022605896,0.509971022605896,0.4506623148918152
2,0.6043751239776611,0.6043751239776611,0.5297141075134277
3,0.38240525126457214,0.38240525126457214,0.539664089679718
4,0.5301538705825806,0.5301538705825806,0.462108314037323
5,0.529822826385498,0.529822826385498,0.5400588512420654
6,0.45410165190696716,0.45410165190696716,0.5287566184997559
7,0.5008507966995239,0.5008507966995239,0.540181577205658
8,0.5533828139305115,0.5533828139305115,0.501400351524353
9,0.5455699563026428,0.5455699563026428,0.4566994309425354
10,0.4216698110103607,0.4216698110103607,0.453485369682312
