trial_number,trial_id,objective_value,batch_size,climate_activation,climate_processing,climate_units,dropout_rate,learning_rate,local_dem_units,na,nb,output_activation,regional_dem_units,temporal_units,use_residual,weight_decay
1,476,0.8524152241045176,1024,relu,conv2d,1005,0.2,8.511896829547758e-05,64,256,80,softplus,24,8,False,6.358358856676247e-05
2,477,0.8476872800481502,1024,relu,flatten,945,0.30000000000000004,3.548621092076138e-05,16,512,96,softplus,16,8,False,7.523742884534855e-06
3,478,0.8253850103437301,256,relu,flatten,1080,0.35,7.939900239532824e-05,16,256,160,softplus,24,4,False,8.200518402245835e-06
4,479,0.8528723013902066,256,relu,flatten,900,0.30000000000000004,3.7478113360623625e-05,64,512,112,softplus,16,8,False,0.0008105016126411582
5,480,0.8592927329071908,1024,relu,flatten,915,0.35,4.6095654581465385e-05,16,512,80,softplus,8,4,False,6.963114377829292e-06
6,481,0.8307538599963639,256,relu,conv2d,1140,0.35,3.279726502914625e-05,16,768,144,softplus,8,12,False,1.1895896737553539e-05
7,482,0.8702497447573188,256,relu,conv2d,990,0.2,7.080465225136186e-05,32,1024,112,softplus,24,8,False,0.00019158219548093185
8,483,0.8450113528737878,64,relu,conv2d,900,0.35,4.0501477133811916e-05,16,512,112,softplus,8,8,False,1.7027416886764403e-05
9,484,0.8513305112626512,64,relu,flatten,1185,0.35,5.7429078731213025e-05,64,1024,80,softplus,24,12,False,0.00026443593078398644
10,485,0.8746221025673903,1024,relu,flatten,1155,0.2,4.504567010596104e-05,64,512,80,softplus,8,8,False,0.0006741074265640696
11,486,0.8768840282719735,256,relu,flatten,1080,0.25,9.685323306357593e-05,32,256,160,softplus,32,4,False,1.4569894755188109e-06
12,487,0.9046044993233219,256,relu,conv2d,1110,0.30000000000000004,3.057943004209346e-05,32,768,160,softplus,32,12,False,1.5498267985166964e-06
13,488,0.8471419326583519,256,relu,conv2d,1110,0.35,6.0251911523763685e-05,16,768,160,softplus,16,12,False,3.172370406789082e-05
14,489,0.8325196991612596,256,relu,conv2d,1065,0.25,7.373036687363527e-05,48,768,144,softplus,24,4,False,4.876487391248184e-06
15,490,0.8582827000619323,256,relu,flatten,1155,0.30000000000000004,6.674112988108438e-05,48,256,144,softplus,16,12,False,1.9772205673655312e-05
