,datetime,precip_in
261,09/18/2017,0.012992133
262,09/19/2017,0.081889808
263,09/20/2017,0.002755907
264,09/21/2017,0.000787402
265,09/22/2017,0.031102379
266,09/23/2017,0.080315004
267,09/24/2017,0.002755907
268,09/25/2017,0.00787402
269,09/26/2017,0.016141740999999998
270,09/27/2017,0.013779534999999999
271,09/28/2017,0.000393701
272,09/29/2017,0.005905514999999999
273,09/30/2017,0.00787402
274,10/01/2017,0.002755907
275,10/02/2017,0.014960638
276,10/03/2017,0.029527575
277,10/04/2017,0.000787402
278,10/05/2017,0.0
279,10/06/2017,0.024803163
280,10/07/2017,0.000393701
281,10/08/2017,0.009842525
282,10/09/2017,0.033070883999999995
283,10/10/2017,0.012992133
284,10/11/2017,0.044094512
285,10/12/2017,0.219291457
286,10/13/2017,0.010236226
287,10/14/2017,0.000393701
288,10/15/2017,0.020078751
289,10/16/2017,0.10748037299999999
290,10/17/2017,0.0
291,10/18/2017,0.073228386
292,10/19/2017,0.03149608
293,10/20/2017,0.000393701
294,10/21/2017,0.020866153
295,10/22/2017,0.0
296,10/23/2017,0.021653555
297,10/24/2017,0.002362206
298,10/25/2017,0.0
299,10/26/2017,0.019291349
300,10/27/2017,0.033464585
301,10/28/2017,0.0
302,10/29/2017,0.17125993499999997
303,10/30/2017,0.057874047
304,10/31/2017,0.00787402
305,11/01/2017,0.009055123
306,11/02/2017,0.0
307,11/03/2017,0.0
308,11/04/2017,0.0
309,11/05/2017,0.0
310,11/06/2017,0.006299216
311,11/07/2017,0.014173235999999999
312,11/08/2017,0.013385834000000001
313,11/09/2017,0.002755907
314,11/10/2017,0.000393701
315,11/11/2017,0.014960638
316,11/12/2017,0.025984266
317,11/13/2017,0.004724412
318,11/14/2017,0.013779534999999999
319,11/15/2017,0.0
320,11/16/2017,0.002755907
321,11/17/2017,0.003149608
322,11/18/2017,0.001181103
323,11/19/2017,0.004330711
324,11/20/2017,0.002362206
325,11/21/2017,0.005511814
326,11/22/2017,0.081889808
327,11/23/2017,0.09094493099999999
328,11/24/2017,0.105511868
329,11/25/2017,0.08149610699999998
330,11/26/2017,0.008661422
331,11/27/2017,0.0
332,11/28/2017,0.037401594999999996
333,11/29/2017,0.083464612
334,11/30/2017,0.000393701
335,12/01/2017,0.006299216
336,12/02/2017,0.028740172999999997
337,12/03/2017,0.016141740999999998
338,12/04/2017,0.0
339,12/05/2017,0.0
340,12/06/2017,0.014173235999999999
341,12/07/2017,0.069685077
342,12/08/2017,0.009842525
343,12/09/2017,0.007086617999999999
344,12/10/2017,0.038582698
345,12/11/2017,0.022047256
346,12/12/2017,0.002362206
347,12/13/2017,0.020078751
348,12/14/2017,0.028346471999999998
349,12/15/2017,0.0
350,12/16/2017,0.072047283
351,12/17/2017,0.052362233
352,12/18/2017,0.083464612
353,12/19/2017,0.033070883999999995
354,12/20/2017,0.0
355,12/21/2017,0.000787402
356,12/22/2017,0.0
357,12/23/2017,0.0
358,12/24/2017,0.006299216
359,12/25/2017,0.0
360,12/26/2017,0.0
361,12/27/2017,0.014173235999999999
362,12/28/2017,0.000787402
363,12/29/2017,0.057480345999999995
364,12/30/2017,0.093700838
365,12/31/2017,0.000393701
366,01/01/2018,0.001968505
367,01/02/2018,0.007086617999999999
368,01/03/2018,0.046850419
369,01/04/2018,0.004724412
370,01/05/2018,0.23228359
371,01/06/2018,0.154330792
372,01/07/2018,0.005118113
373,01/08/2018,0.010236226
374,01/09/2018,0.002362206
375,01/10/2018,0.075984293
376,01/11/2018,0.010629927
