Metric,Value,Unit
R²,0.68043452501297,dimensionless
MSE,0.3589078485965729,normalized²
RMSE,0.5990891825067224,normalized
MAE,0.4018244743347168,normalized
RMSE,120.53065449036191,mm
MAE,80.84300231933594,mm
