trial,value,local_dem_cfg,regional_dem_cfg,lightweight,climate_units,dem_units,dem_patch_size,temporal_units,na,nb,dropout_rate,learning_rate,weight_decay,batch_size
0,2336.776264031304,2,7,True,180,16,3,24,176,48,0.3,0.0008706020878304854,0.000462258900102083,1024
1,2053.697549759926,3,3,False,150,32,6,12,208,16,0.45,0.00015304852121831474,1.2385137298860926e-05,1024
2,2174.6993906703938,6,6,True,360,32,4,12,32,64,0.35,0.00021137059440645722,4.201672054372529e-05,1024
3,2297.9543775698976,5,7,True,450,16,4,4,96,32,0.35,0.00045443839603360173,5.170191786366994e-05,1024
4,2090.227332622285,0,7,True,120,64,10,20,208,16,0.4,1.70505392602693e-05,0.0005323617594751496,128
5,2437.9997244069114,2,5,False,300,16,10,20,160,64,0.45,0.00011103647313054615,7.162786999897333e-05,1024
6,2129.380038514214,2,4,True,270,64,5,4,96,16,0.6,0.00041327654594663655,0.00018484491720988634,1024
7,2112.8120930338923,3,6,True,150,16,7,20,224,16,0.45,6.83631406502272e-05,2.781093697926551e-05,512
8,2182.7551874455526,3,5,False,480,32,7,8,96,16,0.5,0.00010124137770478642,1.2675278269816288e-05,256
9,2199.78252437949,3,7,False,390,16,10,12,176,48,0.45,1.5155823539597614e-05,0.0004683871708118725,1024
10,2642.5436414935025,0,1,False,210,48,12,16,256,32,0.55,3.643526297879779e-05,1.0408114757056237e-05,256
11,2080.182342129081,0,2,False,120,64,9,16,224,32,0.4,1.4884623150573008e-05,0.0009272620985003656,128
12,2133.086731485114,5,2,False,210,48,8,16,256,32,0.4,3.774603614463794e-05,0.00012326922129713517,128
13,2056.2389577912563,1,2,False,120,48,6,8,208,32,0.5,1.0729561666544126e-05,0.0009233626716608491,128
14,2261.8264539478237,1,0,False,240,48,6,8,208,48,0.55,0.00020045790019873396,0.0002185454892644472,512
15,2210.52722051693,4,3,False,120,32,6,8,128,16,0.5,4.6814639063434966e-05,2.304525419065274e-05,128
16,2153.677499773118,1,3,False,180,48,5,12,192,32,0.5,0.00019298826820903948,0.00011205297824965365,128
17,2075.851500366311,4,1,False,300,32,8,8,128,16,0.6,2.5659804065335855e-05,1.8673958779859053e-05,256
18,2142.5185680827417,1,2,False,180,48,6,4,224,32,0.55,6.905714730663319e-05,0.0009884157497089987,512
19,2283.5614924116826,4,4,False,150,32,5,12,144,48,0.5,1.0940321106117367e-05,0.000254302791962066,128
20,2211.066086049372,2,0,False,360,48,3,8,32,16,0.4,0.00033739843452796644,3.789577718482968e-05,1024
21,2111.289034994394,4,1,False,300,32,8,8,128,16,0.6,2.4438108564844904e-05,1.7809478308857346e-05,256
22,2117.3075646203024,5,1,False,240,32,7,8,64,16,0.6,2.6554514097194296e-05,1.6359711362141712e-05,256
23,2118.0660571442168,6,3,False,420,32,9,12,144,32,0.55,1.025351927552102e-05,1.0267833360289395e-05,256
24,2227.368160421164,3,2,False,330,32,8,4,192,16,0.5,2.3403069785619404e-05,2.6029047921080825e-05,256
