rmse_mm,mae_mm,mse_mm2,r2
109.6468363015436,72.04552459716797,12022.4287109375,0.735541820526123
92.35052322875599,61.18029022216797,8528.619140625,0.8123953938484192
95.83446727137111,64.35403442382812,9184.2451171875,0.7979735136032104
99.18003181557012,66.1344223022461,9836.6787109375,0.7836219072341919
110.70753012583425,75.45832824707031,12256.1572265625,0.7304004430770874
102.82158489496503,68.96049499511719,10572.2783203125,0.7674408555030823
101.7177179287119,65.01888275146484,10346.494140625,0.7724074721336365
96.42547924109581,62.65578079223633,9297.873046875,0.7954740524291992
95.77655983622768,62.62997817993164,9173.1494140625,0.7982175946235657
104.70492858654028,65.6175537109375,10963.1220703125,0.7588434219360352
