fold,val_loss_criterion,val_mse_unweighted,val_r2
1,0.3442806700865428,0.3442806700865428,0.6204444169998169
2,0.4956909815470378,0.4956909815470378,0.5564374923706055
3,0.3483976721763611,0.3483976721763611,0.6386224031448364
4,0.42355963587760925,0.42355963587760925,0.5975998044013977
5,0.37878818313280743,0.37878818313280743,0.6110610961914062
6,0.37016428510348004,0.37016428510348004,0.6159985065460205
7,0.32393649220466614,0.32393649220466614,0.6406680345535278
8,0.37522615989049274,0.37522615989049274,0.6524733304977417
9,0.3660699625809987,0.3660699625809987,0.6065741777420044
10,0.34009531140327454,0.34009531140327454,0.6503462195396423
