fold,val_loss_criterion,val_mse_unweighted,val_r2
1,0.3035681024193764,0.2841675728559494,0.6818772554397583
2,0.4399782121181488,0.5906805992126465,0.34569352865219116
3,0.12766657769680023,0.16325989365577698,0.8291906714439392
4,0.3405436873435974,0.6648618876934052,0.3059835433959961
5,0.28154268860816956,0.23959172517061234,0.7624552249908447
6,0.5702602863311768,0.3218330815434456,0.6770637035369873
7,0.4733020216226578,0.664291650056839,0.37654000520706177
8,0.511086218059063,0.28764382004737854,0.6807267665863037
9,0.20537254959344864,0.24325069785118103,0.7875539660453796
10,0.43018344044685364,0.26813235878944397,0.7313021421432495
11,0.850007951259613,0.4632411003112793,0.6027798056602478
12,0.2252010852098465,0.21890951693058014,0.7456674575805664
13,0.9473589062690735,0.4401271939277649,0.4880797863006592
14,0.3150682896375656,0.42754869163036346,0.5671712756156921
15,0.35989996790885925,0.5294272899627686,0.49694955348968506
