Metric,Value,Unit
R²,0.7695922255516052,dimensionless
MSE,0.2587737739086151,normalized²
RMSE,0.5086981166749245,normalized
MAE,0.3396504819393158,normalized
RMSE,102.34489026082348,mm
MAE,68.334228515625,mm
