fold,val_loss_criterion,val_mse_unweighted,val_r2
1,0.35635846853256226,0.3926064968109131,0.5618026256561279
2,0.41823597252368927,0.35231129825115204,0.6113762259483337
3,0.1660047210752964,0.19081596285104752,0.8008318543434143
4,0.5710006356239319,0.325317919254303,0.6610832214355469
5,0.3103720396757126,0.24430251121520996,0.7577088475227356
6,0.8013200759887695,0.3712567538022995,0.6284494400024414
7,0.411038838326931,0.29023589193820953,0.7260744571685791
8,0.3087867945432663,0.3291291892528534,0.6326332092285156
9,0.2851898968219757,0.31732213497161865,0.7210816144943237
10,0.37428587675094604,0.24626465141773224,0.7513673901557922
11,0.6560560464859009,0.3146044611930847,0.7277093529701233
12,0.17424017190933228,0.19394377619028091,0.7738648056983948
13,0.686696968972683,0.24156014621257782,0.7169814109802246
14,0.22844596207141876,0.322477325797081,0.6810946464538574
15,0.41054053604602814,0.41302476823329926,0.6057340502738953
