dataset,status,shape_a,shape_b,mean_abs_diff,max_abs_diff
date_001_1958-08/climate_vars/pr_wtr,only_in_a,"(25,)",,,
date_001_1958-08/climate_vars/shum_700,only_in_a,"(25,)",,,
date_001_1958-08/climate_vars/shum_925,only_in_a,"(25,)",,,
date_001_1958-08/climate_vars/skin_temp,only_in_a,"(25,)",,,
date_001_1958-08/climate_vars/slp,only_in_a,"(25,)",,,
date_001_1958-08/climate_vars/zon_moist_700,only_in_a,"(25,)",,,
date_001_1958-08/climate_vars/zon_moist_925,only_in_a,"(25,)",,,
date_001_1958-08/grid_points,only_in_a,"(25, 2)",,,
date_001_1958-08/local_patches,only_in_a,"(25, 3, 3)",,,
date_001_1958-08/month_one_hot,only_in_a,"(12,)",,,
date_001_1958-08/rainfall,only_in_a,"(25,)",,,
date_001_1958-08/regional_patches,only_in_a,"(25, 3, 3)",,,
date_002_1958-09/climate_vars/air_2m,only_in_a,"(25,)",,,
date_002_1958-09/climate_vars/air_temp_diff_1000_500,only_in_a,"(25,)",,,
date_002_1958-09/climate_vars/hgt_1000,only_in_a,"(25,)",,,
date_002_1958-09/climate_vars/hgt_500,only_in_a,"(25,)",,,
date_002_1958-09/climate_vars/merid_moist_700,only_in_a,"(25,)",,,
date_002_1958-09/climate_vars/merid_moist_925,only_in_a,"(25,)",,,
date_002_1958-09/climate_vars/omega_500,only_in_a,"(25,)",,,
date_002_1958-09/climate_vars/pottmp_diff_1000_500,only_in_a,"(25,)",,,
date_002_1958-09/climate_vars/pottmp_diff_1000_850,only_in_a,"(25,)",,,
date_002_1958-09/climate_vars/pr_wtr,only_in_a,"(25,)",,,
date_002_1958-09/climate_vars/shum_700,only_in_a,"(25,)",,,
date_002_1958-09/climate_vars/shum_925,only_in_a,"(25,)",,,
date_002_1958-09/climate_vars/skin_temp,only_in_a,"(25,)",,,
date_002_1958-09/climate_vars/slp,only_in_a,"(25,)",,,
date_002_1958-09/climate_vars/zon_moist_700,only_in_a,"(25,)",,,
date_002_1958-09/climate_vars/zon_moist_925,only_in_a,"(25,)",,,
date_002_1958-09/grid_points,only_in_a,"(25, 2)",,,
date_002_1958-09/local_patches,only_in_a,"(25, 3, 3)",,,
date_002_1958-09/month_one_hot,only_in_a,"(12,)",,,
date_002_1958-09/rainfall,only_in_a,"(25,)",,,
date_002_1958-09/regional_patches,only_in_a,"(25, 3, 3)",,,
date_003_1958-10/climate_vars/air_2m,only_in_a,"(25,)",,,
date_003_1958-10/climate_vars/air_temp_diff_1000_500,only_in_a,"(25,)",,,
date_003_1958-10/climate_vars/hgt_1000,only_in_a,"(25,)",,,
date_003_1958-10/climate_vars/hgt_500,only_in_a,"(25,)",,,
date_003_1958-10/climate_vars/merid_moist_700,only_in_a,"(25,)",,,
date_003_1958-10/climate_vars/merid_moist_925,only_in_a,"(25,)",,,
date_003_1958-10/climate_vars/omega_500,only_in_a,"(25,)",,,
date_003_1958-10/climate_vars/pottmp_diff_1000_500,only_in_a,"(25,)",,,
date_003_1958-10/climate_vars/pottmp_diff_1000_850,only_in_a,"(25,)",,,
date_003_1958-10/climate_vars/pr_wtr,only_in_a,"(25,)",,,
date_003_1958-10/climate_vars/shum_700,only_in_a,"(25,)",,,
date_003_1958-10/climate_vars/shum_925,only_in_a,"(25,)",,,
date_003_1958-10/climate_vars/skin_temp,only_in_a,"(25,)",,,
date_003_1958-10/climate_vars/slp,only_in_a,"(25,)",,,
date_003_1958-10/climate_vars/zon_moist_700,only_in_a,"(25,)",,,
date_003_1958-10/climate_vars/zon_moist_925,only_in_a,"(25,)",,,
date_003_1958-10/grid_points,only_in_a,"(25, 2)",,,
date_003_1958-10/local_patches,only_in_a,"(25, 3, 3)",,,
date_003_1958-10/month_one_hot,only_in_a,"(12,)",,,
date_003_1958-10/rainfall,only_in_a,"(25,)",,,
date_003_1958-10/regional_patches,only_in_a,"(25, 3, 3)",,,
date_004_1958-11/climate_vars/air_2m,only_in_a,"(25,)",,,
date_004_1958-11/climate_vars/air_temp_diff_1000_500,only_in_a,"(25,)",,,
date_004_1958-11/climate_vars/hgt_1000,only_in_a,"(25,)",,,
date_004_1958-11/climate_vars/hgt_500,only_in_a,"(25,)",,,
date_004_1958-11/climate_vars/merid_moist_700,only_in_a,"(25,)",,,
date_004_1958-11/climate_vars/merid_moist_925,only_in_a,"(25,)",,,
date_004_1958-11/climate_vars/omega_500,only_in_a,"(25,)",,,
date_004_1958-11/climate_vars/pottmp_diff_1000_500,only_in_a,"(25,)",,,
date_004_1958-11/climate_vars/pottmp_diff_1000_850,only_in_a,"(25,)",,,
date_004_1958-11/climate_vars/pr_wtr,only_in_a,"(25,)",,,
date_004_1958-11/climate_vars/shum_700,only_in_a,"(25,)",,,
date_004_1958-11/climate_vars/shum_925,only_in_a,"(25,)",,,
date_004_1958-11/climate_vars/skin_temp,only_in_a,"(25,)",,,
date_004_1958-11/climate_vars/slp,only_in_a,"(25,)",,,
date_004_1958-11/climate_vars/zon_moist_700,only_in_a,"(25,)",,,
date_004_1958-11/climate_vars/zon_moist_925,only_in_a,"(25,)",,,
date_004_1958-11/grid_points,only_in_a,"(25, 2)",,,
date_004_1958-11/local_patches,only_in_a,"(25, 3, 3)",,,
date_004_1958-11/month_one_hot,only_in_a,"(12,)",,,
date_004_1958-11/rainfall,only_in_a,"(25,)",,,
date_004_1958-11/regional_patches,only_in_a,"(25, 3, 3)",,,
date_005_1958-12/climate_vars/air_2m,only_in_a,"(25,)",,,
date_005_1958-12/climate_vars/air_temp_diff_1000_500,only_in_a,"(25,)",,,
date_005_1958-12/climate_vars/hgt_1000,only_in_a,"(25,)",,,
date_005_1958-12/climate_vars/hgt_500,only_in_a,"(25,)",,,
date_005_1958-12/climate_vars/merid_moist_700,only_in_a,"(25,)",,,
date_005_1958-12/climate_vars/merid_moist_925,only_in_a,"(25,)",,,
date_005_1958-12/climate_vars/omega_500,only_in_a,"(25,)",,,
date_005_1958-12/climate_vars/pottmp_diff_1000_500,only_in_a,"(25,)",,,
date_005_1958-12/climate_vars/pottmp_diff_1000_850,only_in_a,"(25,)",,,
date_005_1958-12/climate_vars/pr_wtr,only_in_a,"(25,)",,,
date_005_1958-12/climate_vars/shum_700,only_in_a,"(25,)",,,
date_005_1958-12/climate_vars/shum_925,only_in_a,"(25,)",,,
date_005_1958-12/climate_vars/skin_temp,only_in_a,"(25,)",,,
date_005_1958-12/climate_vars/slp,only_in_a,"(25,)",,,
date_005_1958-12/climate_vars/zon_moist_700,only_in_a,"(25,)",,,
date_005_1958-12/climate_vars/zon_moist_925,only_in_a,"(25,)",,,
date_005_1958-12/grid_points,only_in_a,"(25, 2)",,,
date_005_1958-12/local_patches,only_in_a,"(25, 3, 3)",,,
date_005_1958-12/month_one_hot,only_in_a,"(12,)",,,
date_005_1958-12/rainfall,only_in_a,"(25,)",,,
date_005_1958-12/regional_patches,only_in_a,"(25, 3, 3)",,,
date_006_1959-01/climate_vars/air_2m,only_in_a,"(25,)",,,
date_006_1959-01/climate_vars/air_temp_diff_1000_500,only_in_a,"(25,)",,,
date_006_1959-01/climate_vars/hgt_1000,only_in_a,"(25,)",,,
date_006_1959-01/climate_vars/hgt_500,only_in_a,"(25,)",,,
date_006_1959-01/climate_vars/merid_moist_700,only_in_a,"(25,)",,,
date_006_1959-01/climate_vars/merid_moist_925,only_in_a,"(25,)",,,
date_006_1959-01/climate_vars/omega_500,only_in_a,"(25,)",,,
date_006_1959-01/climate_vars/pottmp_diff_1000_500,only_in_a,"(25,)",,,
date_006_1959-01/climate_vars/pottmp_diff_1000_850,only_in_a,"(25,)",,,
