dataset,status,shape_a,shape_b,mean_abs_diff,max_abs_diff
date_173_1972-12/climate_vars/zon_moist_700,only_in_a,"(25,)",,,
date_173_1972-12/climate_vars/zon_moist_925,only_in_a,"(25,)",,,
date_173_1972-12/grid_points,only_in_a,"(25, 2)",,,
date_173_1972-12/local_patches,only_in_a,"(25, 3, 3)",,,
date_173_1972-12/month_one_hot,only_in_a,"(12,)",,,
date_173_1972-12/rainfall,only_in_a,"(25,)",,,
date_173_1972-12/regional_patches,only_in_a,"(25, 3, 3)",,,
date_174_1973-01/climate_vars/air_2m,only_in_a,"(25,)",,,
date_174_1973-01/climate_vars/air_temp_diff_1000_500,only_in_a,"(25,)",,,
date_174_1973-01/climate_vars/hgt_1000,only_in_a,"(25,)",,,
date_174_1973-01/climate_vars/hgt_500,only_in_a,"(25,)",,,
date_174_1973-01/climate_vars/merid_moist_700,only_in_a,"(25,)",,,
date_174_1973-01/climate_vars/merid_moist_925,only_in_a,"(25,)",,,
date_174_1973-01/climate_vars/omega_500,only_in_a,"(25,)",,,
date_174_1973-01/climate_vars/pottmp_diff_1000_500,only_in_a,"(25,)",,,
date_174_1973-01/climate_vars/pottmp_diff_1000_850,only_in_a,"(25,)",,,
date_174_1973-01/climate_vars/pr_wtr,only_in_a,"(25,)",,,
date_174_1973-01/climate_vars/shum_700,only_in_a,"(25,)",,,
date_174_1973-01/climate_vars/shum_925,only_in_a,"(25,)",,,
date_174_1973-01/climate_vars/skin_temp,only_in_a,"(25,)",,,
date_174_1973-01/climate_vars/slp,only_in_a,"(25,)",,,
date_174_1973-01/climate_vars/zon_moist_700,only_in_a,"(25,)",,,
date_174_1973-01/climate_vars/zon_moist_925,only_in_a,"(25,)",,,
date_174_1973-01/grid_points,only_in_a,"(25, 2)",,,
date_174_1973-01/local_patches,only_in_a,"(25, 3, 3)",,,
date_174_1973-01/month_one_hot,only_in_a,"(12,)",,,
date_174_1973-01/rainfall,only_in_a,"(25,)",,,
date_174_1973-01/regional_patches,only_in_a,"(25, 3, 3)",,,
date_175_1973-02/climate_vars/air_2m,only_in_a,"(25,)",,,
date_175_1973-02/climate_vars/air_temp_diff_1000_500,only_in_a,"(25,)",,,
date_175_1973-02/climate_vars/hgt_1000,only_in_a,"(25,)",,,
date_175_1973-02/climate_vars/hgt_500,only_in_a,"(25,)",,,
date_175_1973-02/climate_vars/merid_moist_700,only_in_a,"(25,)",,,
date_175_1973-02/climate_vars/merid_moist_925,only_in_a,"(25,)",,,
date_175_1973-02/climate_vars/omega_500,only_in_a,"(25,)",,,
date_175_1973-02/climate_vars/pottmp_diff_1000_500,only_in_a,"(25,)",,,
date_175_1973-02/climate_vars/pottmp_diff_1000_850,only_in_a,"(25,)",,,
date_175_1973-02/climate_vars/pr_wtr,only_in_a,"(25,)",,,
date_175_1973-02/climate_vars/shum_700,only_in_a,"(25,)",,,
date_175_1973-02/climate_vars/shum_925,only_in_a,"(25,)",,,
date_175_1973-02/climate_vars/skin_temp,only_in_a,"(25,)",,,
date_175_1973-02/climate_vars/slp,only_in_a,"(25,)",,,
date_175_1973-02/climate_vars/zon_moist_700,only_in_a,"(25,)",,,
date_175_1973-02/climate_vars/zon_moist_925,only_in_a,"(25,)",,,
date_175_1973-02/grid_points,only_in_a,"(25, 2)",,,
date_175_1973-02/local_patches,only_in_a,"(25, 3, 3)",,,
date_175_1973-02/month_one_hot,only_in_a,"(12,)",,,
date_175_1973-02/rainfall,only_in_a,"(25,)",,,
date_175_1973-02/regional_patches,only_in_a,"(25, 3, 3)",,,
date_176_1973-03/climate_vars/air_2m,only_in_a,"(25,)",,,
date_176_1973-03/climate_vars/air_temp_diff_1000_500,only_in_a,"(25,)",,,
date_176_1973-03/climate_vars/hgt_1000,only_in_a,"(25,)",,,
date_176_1973-03/climate_vars/hgt_500,only_in_a,"(25,)",,,
date_176_1973-03/climate_vars/merid_moist_700,only_in_a,"(25,)",,,
date_176_1973-03/climate_vars/merid_moist_925,only_in_a,"(25,)",,,
date_176_1973-03/climate_vars/omega_500,only_in_a,"(25,)",,,
date_176_1973-03/climate_vars/pottmp_diff_1000_500,only_in_a,"(25,)",,,
date_176_1973-03/climate_vars/pottmp_diff_1000_850,only_in_a,"(25,)",,,
date_176_1973-03/climate_vars/pr_wtr,only_in_a,"(25,)",,,
date_176_1973-03/climate_vars/shum_700,only_in_a,"(25,)",,,
date_176_1973-03/climate_vars/shum_925,only_in_a,"(25,)",,,
date_176_1973-03/climate_vars/skin_temp,only_in_a,"(25,)",,,
date_176_1973-03/climate_vars/slp,only_in_a,"(25,)",,,
date_176_1973-03/climate_vars/zon_moist_700,only_in_a,"(25,)",,,
date_176_1973-03/climate_vars/zon_moist_925,only_in_a,"(25,)",,,
date_176_1973-03/grid_points,only_in_a,"(25, 2)",,,
date_176_1973-03/local_patches,only_in_a,"(25, 3, 3)",,,
date_176_1973-03/month_one_hot,only_in_a,"(12,)",,,
date_176_1973-03/rainfall,only_in_a,"(25,)",,,
date_176_1973-03/regional_patches,only_in_a,"(25, 3, 3)",,,
date_177_1973-04/climate_vars/air_2m,only_in_a,"(25,)",,,
date_177_1973-04/climate_vars/air_temp_diff_1000_500,only_in_a,"(25,)",,,
date_177_1973-04/climate_vars/hgt_1000,only_in_a,"(25,)",,,
date_177_1973-04/climate_vars/hgt_500,only_in_a,"(25,)",,,
date_177_1973-04/climate_vars/merid_moist_700,only_in_a,"(25,)",,,
date_177_1973-04/climate_vars/merid_moist_925,only_in_a,"(25,)",,,
date_177_1973-04/climate_vars/omega_500,only_in_a,"(25,)",,,
date_177_1973-04/climate_vars/pottmp_diff_1000_500,only_in_a,"(25,)",,,
date_177_1973-04/climate_vars/pottmp_diff_1000_850,only_in_a,"(25,)",,,
date_177_1973-04/climate_vars/pr_wtr,only_in_a,"(25,)",,,
date_177_1973-04/climate_vars/shum_700,only_in_a,"(25,)",,,
date_177_1973-04/climate_vars/shum_925,only_in_a,"(25,)",,,
date_177_1973-04/climate_vars/skin_temp,only_in_a,"(25,)",,,
date_177_1973-04/climate_vars/slp,only_in_a,"(25,)",,,
date_177_1973-04/climate_vars/zon_moist_700,only_in_a,"(25,)",,,
date_177_1973-04/climate_vars/zon_moist_925,only_in_a,"(25,)",,,
date_177_1973-04/grid_points,only_in_a,"(25, 2)",,,
date_177_1973-04/local_patches,only_in_a,"(25, 3, 3)",,,
date_177_1973-04/month_one_hot,only_in_a,"(12,)",,,
date_177_1973-04/rainfall,only_in_a,"(25,)",,,
date_177_1973-04/regional_patches,only_in_a,"(25, 3, 3)",,,
date_178_1973-05/climate_vars/air_2m,only_in_a,"(25,)",,,
date_178_1973-05/climate_vars/air_temp_diff_1000_500,only_in_a,"(25,)",,,
date_178_1973-05/climate_vars/hgt_1000,only_in_a,"(25,)",,,
date_178_1973-05/climate_vars/hgt_500,only_in_a,"(25,)",,,
date_178_1973-05/climate_vars/merid_moist_700,only_in_a,"(25,)",,,
date_178_1973-05/climate_vars/merid_moist_925,only_in_a,"(25,)",,,
date_178_1973-05/climate_vars/omega_500,only_in_a,"(25,)",,,
date_178_1973-05/climate_vars/pottmp_diff_1000_500,only_in_a,"(25,)",,,
date_178_1973-05/climate_vars/pottmp_diff_1000_850,only_in_a,"(25,)",,,
date_178_1973-05/climate_vars/pr_wtr,only_in_a,"(25,)",,,
date_178_1973-05/climate_vars/shum_700,only_in_a,"(25,)",,,
date_178_1973-05/climate_vars/shum_925,only_in_a,"(25,)",,,
date_178_1973-05/climate_vars/skin_temp,only_in_a,"(25,)",,,
date_178_1973-05/climate_vars/slp,only_in_a,"(25,)",,,
date_178_1973-05/climate_vars/zon_moist_700,only_in_a,"(25,)",,,
date_178_1973-05/climate_vars/zon_moist_925,only_in_a,"(25,)",,,
date_178_1973-05/grid_points,only_in_a,"(25, 2)",,,
date_178_1973-05/local_patches,only_in_a,"(25, 3, 3)",,,
date_178_1973-05/month_one_hot,only_in_a,"(12,)",,,
date_178_1973-05/rainfall,only_in_a,"(25,)",,,
date_178_1973-05/regional_patches,only_in_a,"(25, 3, 3)",,,
date_179_1973-06/climate_vars/air_2m,only_in_a,"(25,)",,,
date_179_1973-06/climate_vars/air_temp_diff_1000_500,only_in_a,"(25,)",,,
date_179_1973-06/climate_vars/hgt_1000,only_in_a,"(25,)",,,
date_179_1973-06/climate_vars/hgt_500,only_in_a,"(25,)",,,
date_179_1973-06/climate_vars/merid_moist_700,only_in_a,"(25,)",,,
date_179_1973-06/climate_vars/merid_moist_925,only_in_a,"(25,)",,,
date_179_1973-06/climate_vars/omega_500,only_in_a,"(25,)",,,
date_179_1973-06/climate_vars/pottmp_diff_1000_500,only_in_a,"(25,)",,,
date_179_1973-06/climate_vars/pottmp_diff_1000_850,only_in_a,"(25,)",,,
date_179_1973-06/climate_vars/pr_wtr,only_in_a,"(25,)",,,
date_179_1973-06/climate_vars/shum_700,only_in_a,"(25,)",,,
date_179_1973-06/climate_vars/shum_925,only_in_a,"(25,)",,,
date_179_1973-06/climate_vars/skin_temp,only_in_a,"(25,)",,,
date_179_1973-06/climate_vars/slp,only_in_a,"(25,)",,,
date_179_1973-06/climate_vars/zon_moist_700,only_in_a,"(25,)",,,
date_179_1973-06/climate_vars/zon_moist_925,only_in_a,"(25,)",,,
date_179_1973-06/grid_points,only_in_a,"(25, 2)",,,
date_179_1973-06/local_patches,only_in_a,"(25, 3, 3)",,,
date_179_1973-06/month_one_hot,only_in_a,"(12,)",,,
date_179_1973-06/rainfall,only_in_a,"(25,)",,,
date_179_1973-06/regional_patches,only_in_a,"(25, 3, 3)",,,
date_180_1973-07/climate_vars/air_2m,only_in_a,"(25,)",,,
date_180_1973-07/climate_vars/air_temp_diff_1000_500,only_in_a,"(25,)",,,
date_180_1973-07/climate_vars/hgt_1000,only_in_a,"(25,)",,,
date_180_1973-07/climate_vars/hgt_500,only_in_a,"(25,)",,,
date_180_1973-07/climate_vars/merid_moist_700,only_in_a,"(25,)",,,
date_180_1973-07/climate_vars/merid_moist_925,only_in_a,"(25,)",,,
date_180_1973-07/climate_vars/omega_500,only_in_a,"(25,)",,,
date_180_1973-07/climate_vars/pottmp_diff_1000_500,only_in_a,"(25,)",,,
date_180_1973-07/climate_vars/pottmp_diff_1000_850,only_in_a,"(25,)",,,
date_180_1973-07/climate_vars/pr_wtr,only_in_a,"(25,)",,,
date_180_1973-07/climate_vars/shum_700,only_in_a,"(25,)",,,
date_180_1973-07/climate_vars/shum_925,only_in_a,"(25,)",,,
date_180_1973-07/climate_vars/skin_temp,only_in_a,"(25,)",,,
date_180_1973-07/climate_vars/slp,only_in_a,"(25,)",,,
date_180_1973-07/climate_vars/zon_moist_700,only_in_a,"(25,)",,,
date_180_1973-07/climate_vars/zon_moist_925,only_in_a,"(25,)",,,
date_180_1973-07/grid_points,only_in_a,"(25, 2)",,,
date_180_1973-07/local_patches,only_in_a,"(25, 3, 3)",,,
date_180_1973-07/month_one_hot,only_in_a,"(12,)",,,
date_180_1973-07/rainfall,only_in_a,"(25,)",,,
date_180_1973-07/regional_patches,only_in_a,"(25, 3, 3)",,,
date_181_1973-08/climate_vars/air_2m,only_in_a,"(25,)",,,
date_181_1973-08/climate_vars/air_temp_diff_1000_500,only_in_a,"(25,)",,,
date_181_1973-08/climate_vars/hgt_1000,only_in_a,"(25,)",,,
date_181_1973-08/climate_vars/hgt_500,only_in_a,"(25,)",,,
date_181_1973-08/climate_vars/merid_moist_700,only_in_a,"(25,)",,,
date_181_1973-08/climate_vars/merid_moist_925,only_in_a,"(25,)",,,
date_181_1973-08/climate_vars/omega_500,only_in_a,"(25,)",,,
date_181_1973-08/climate_vars/pottmp_diff_1000_500,only_in_a,"(25,)",,,
date_181_1973-08/climate_vars/pottmp_diff_1000_850,only_in_a,"(25,)",,,
date_181_1973-08/climate_vars/pr_wtr,only_in_a,"(25,)",,,
date_181_1973-08/climate_vars/shum_700,only_in_a,"(25,)",,,
date_181_1973-08/climate_vars/shum_925,only_in_a,"(25,)",,,
date_181_1973-08/climate_vars/skin_temp,only_in_a,"(25,)",,,
date_181_1973-08/climate_vars/slp,only_in_a,"(25,)",,,
date_181_1973-08/climate_vars/zon_moist_700,only_in_a,"(25,)",,,
date_181_1973-08/climate_vars/zon_moist_925,only_in_a,"(25,)",,,
date_181_1973-08/grid_points,only_in_a,"(25, 2)",,,
date_181_1973-08/local_patches,only_in_a,"(25, 3, 3)",,,
date_181_1973-08/month_one_hot,only_in_a,"(12,)",,,
date_181_1973-08/rainfall,only_in_a,"(25,)",,,
date_181_1973-08/regional_patches,only_in_a,"(25, 3, 3)",,,
date_182_1973-09/climate_vars/air_2m,only_in_a,"(25,)",,,
date_182_1973-09/climate_vars/air_temp_diff_1000_500,only_in_a,"(25,)",,,
date_182_1973-09/climate_vars/hgt_1000,only_in_a,"(25,)",,,
date_182_1973-09/climate_vars/hgt_500,only_in_a,"(25,)",,,
date_182_1973-09/climate_vars/merid_moist_700,only_in_a,"(25,)",,,
date_182_1973-09/climate_vars/merid_moist_925,only_in_a,"(25,)",,,
date_182_1973-09/climate_vars/omega_500,only_in_a,"(25,)",,,
date_182_1973-09/climate_vars/pottmp_diff_1000_500,only_in_a,"(25,)",,,
date_182_1973-09/climate_vars/pottmp_diff_1000_850,only_in_a,"(25,)",,,
date_182_1973-09/climate_vars/pr_wtr,only_in_a,"(25,)",,,
date_182_1973-09/climate_vars/shum_700,only_in_a,"(25,)",,,
date_182_1973-09/climate_vars/shum_925,only_in_a,"(25,)",,,
date_182_1973-09/climate_vars/skin_temp,only_in_a,"(25,)",,,
date_182_1973-09/climate_vars/slp,only_in_a,"(25,)",,,
date_182_1973-09/climate_vars/zon_moist_700,only_in_a,"(25,)",,,
date_182_1973-09/climate_vars/zon_moist_925,only_in_a,"(25,)",,,
date_182_1973-09/grid_points,only_in_a,"(25, 2)",,,
date_182_1973-09/local_patches,only_in_a,"(25, 3, 3)",,,
date_182_1973-09/month_one_hot,only_in_a,"(12,)",,,
date_182_1973-09/rainfall,only_in_a,"(25,)",,,
date_182_1973-09/regional_patches,only_in_a,"(25, 3, 3)",,,
date_183_1973-10/climate_vars/air_2m,only_in_a,"(25,)",,,
date_183_1973-10/climate_vars/air_temp_diff_1000_500,only_in_a,"(25,)",,,
date_183_1973-10/climate_vars/hgt_1000,only_in_a,"(25,)",,,
date_183_1973-10/climate_vars/hgt_500,only_in_a,"(25,)",,,
date_183_1973-10/climate_vars/merid_moist_700,only_in_a,"(25,)",,,
date_183_1973-10/climate_vars/merid_moist_925,only_in_a,"(25,)",,,
date_183_1973-10/climate_vars/omega_500,only_in_a,"(25,)",,,
date_183_1973-10/climate_vars/pottmp_diff_1000_500,only_in_a,"(25,)",,,
date_183_1973-10/climate_vars/pottmp_diff_1000_850,only_in_a,"(25,)",,,
date_183_1973-10/climate_vars/pr_wtr,only_in_a,"(25,)",,,
date_183_1973-10/climate_vars/shum_700,only_in_a,"(25,)",,,
date_183_1973-10/climate_vars/shum_925,only_in_a,"(25,)",,,
date_183_1973-10/climate_vars/skin_temp,only_in_a,"(25,)",,,
date_183_1973-10/climate_vars/slp,only_in_a,"(25,)",,,
date_183_1973-10/climate_vars/zon_moist_700,only_in_a,"(25,)",,,
date_183_1973-10/climate_vars/zon_moist_925,only_in_a,"(25,)",,,
date_183_1973-10/grid_points,only_in_a,"(25, 2)",,,
date_183_1973-10/local_patches,only_in_a,"(25, 3, 3)",,,
date_183_1973-10/month_one_hot,only_in_a,"(12,)",,,
date_183_1973-10/rainfall,only_in_a,"(25,)",,,
date_183_1973-10/regional_patches,only_in_a,"(25, 3, 3)",,,
date_184_1973-11/climate_vars/air_2m,only_in_a,"(25,)",,,
date_184_1973-11/climate_vars/air_temp_diff_1000_500,only_in_a,"(25,)",,,
date_184_1973-11/climate_vars/hgt_1000,only_in_a,"(25,)",,,
date_184_1973-11/climate_vars/hgt_500,only_in_a,"(25,)",,,
date_184_1973-11/climate_vars/merid_moist_700,only_in_a,"(25,)",,,
date_184_1973-11/climate_vars/merid_moist_925,only_in_a,"(25,)",,,
date_184_1973-11/climate_vars/omega_500,only_in_a,"(25,)",,,
date_184_1973-11/climate_vars/pottmp_diff_1000_500,only_in_a,"(25,)",,,
date_184_1973-11/climate_vars/pottmp_diff_1000_850,only_in_a,"(25,)",,,
date_184_1973-11/climate_vars/pr_wtr,only_in_a,"(25,)",,,
date_184_1973-11/climate_vars/shum_700,only_in_a,"(25,)",,,
date_184_1973-11/climate_vars/shum_925,only_in_a,"(25,)",,,
date_184_1973-11/climate_vars/skin_temp,only_in_a,"(25,)",,,
date_184_1973-11/climate_vars/slp,only_in_a,"(25,)",,,
date_184_1973-11/climate_vars/zon_moist_700,only_in_a,"(25,)",,,
date_184_1973-11/climate_vars/zon_moist_925,only_in_a,"(25,)",,,
date_184_1973-11/grid_points,only_in_a,"(25, 2)",,,
date_184_1973-11/local_patches,only_in_a,"(25, 3, 3)",,,
date_184_1973-11/month_one_hot,only_in_a,"(12,)",,,
date_184_1973-11/rainfall,only_in_a,"(25,)",,,
date_184_1973-11/regional_patches,only_in_a,"(25, 3, 3)",,,
date_185_1973-12/climate_vars/air_2m,only_in_a,"(25,)",,,
date_185_1973-12/climate_vars/air_temp_diff_1000_500,only_in_a,"(25,)",,,
date_185_1973-12/climate_vars/hgt_1000,only_in_a,"(25,)",,,
date_185_1973-12/climate_vars/hgt_500,only_in_a,"(25,)",,,
date_185_1973-12/climate_vars/merid_moist_700,only_in_a,"(25,)",,,
date_185_1973-12/climate_vars/merid_moist_925,only_in_a,"(25,)",,,
date_185_1973-12/climate_vars/omega_500,only_in_a,"(25,)",,,
date_185_1973-12/climate_vars/pottmp_diff_1000_500,only_in_a,"(25,)",,,
date_185_1973-12/climate_vars/pottmp_diff_1000_850,only_in_a,"(25,)",,,
date_185_1973-12/climate_vars/pr_wtr,only_in_a,"(25,)",,,
date_185_1973-12/climate_vars/shum_700,only_in_a,"(25,)",,,
date_185_1973-12/climate_vars/shum_925,only_in_a,"(25,)",,,
date_185_1973-12/climate_vars/skin_temp,only_in_a,"(25,)",,,
date_185_1973-12/climate_vars/slp,only_in_a,"(25,)",,,
date_185_1973-12/climate_vars/zon_moist_700,only_in_a,"(25,)",,,
date_185_1973-12/climate_vars/zon_moist_925,only_in_a,"(25,)",,,
date_185_1973-12/grid_points,only_in_a,"(25, 2)",,,
date_185_1973-12/local_patches,only_in_a,"(25, 3, 3)",,,
date_185_1973-12/month_one_hot,only_in_a,"(12,)",,,
date_185_1973-12/rainfall,only_in_a,"(25,)",,,
date_185_1973-12/regional_patches,only_in_a,"(25, 3, 3)",,,
date_186_1974-01/climate_vars/air_2m,only_in_a,"(25,)",,,
date_186_1974-01/climate_vars/air_temp_diff_1000_500,only_in_a,"(25,)",,,
date_186_1974-01/climate_vars/hgt_1000,only_in_a,"(25,)",,,
date_186_1974-01/climate_vars/hgt_500,only_in_a,"(25,)",,,
date_186_1974-01/climate_vars/merid_moist_700,only_in_a,"(25,)",,,
date_186_1974-01/climate_vars/merid_moist_925,only_in_a,"(25,)",,,
date_186_1974-01/climate_vars/omega_500,only_in_a,"(25,)",,,
date_186_1974-01/climate_vars/pottmp_diff_1000_500,only_in_a,"(25,)",,,
date_186_1974-01/climate_vars/pottmp_diff_1000_850,only_in_a,"(25,)",,,
date_186_1974-01/climate_vars/pr_wtr,only_in_a,"(25,)",,,
date_186_1974-01/climate_vars/shum_700,only_in_a,"(25,)",,,
date_186_1974-01/climate_vars/shum_925,only_in_a,"(25,)",,,
date_186_1974-01/climate_vars/skin_temp,only_in_a,"(25,)",,,
date_186_1974-01/climate_vars/slp,only_in_a,"(25,)",,,
date_186_1974-01/climate_vars/zon_moist_700,only_in_a,"(25,)",,,
date_186_1974-01/climate_vars/zon_moist_925,only_in_a,"(25,)",,,
date_186_1974-01/grid_points,only_in_a,"(25, 2)",,,
date_186_1974-01/local_patches,only_in_a,"(25, 3, 3)",,,
date_186_1974-01/month_one_hot,only_in_a,"(12,)",,,
date_186_1974-01/rainfall,only_in_a,"(25,)",,,
date_186_1974-01/regional_patches,only_in_a,"(25, 3, 3)",,,
date_187_1974-02/climate_vars/air_2m,only_in_a,"(25,)",,,
date_187_1974-02/climate_vars/air_temp_diff_1000_500,only_in_a,"(25,)",,,
date_187_1974-02/climate_vars/hgt_1000,only_in_a,"(25,)",,,
date_187_1974-02/climate_vars/hgt_500,only_in_a,"(25,)",,,
date_187_1974-02/climate_vars/merid_moist_700,only_in_a,"(25,)",,,
date_187_1974-02/climate_vars/merid_moist_925,only_in_a,"(25,)",,,
date_187_1974-02/climate_vars/omega_500,only_in_a,"(25,)",,,
date_187_1974-02/climate_vars/pottmp_diff_1000_500,only_in_a,"(25,)",,,
date_187_1974-02/climate_vars/pottmp_diff_1000_850,only_in_a,"(25,)",,,
date_187_1974-02/climate_vars/pr_wtr,only_in_a,"(25,)",,,
date_187_1974-02/climate_vars/shum_700,only_in_a,"(25,)",,,
date_187_1974-02/climate_vars/shum_925,only_in_a,"(25,)",,,
date_187_1974-02/climate_vars/skin_temp,only_in_a,"(25,)",,,
date_187_1974-02/climate_vars/slp,only_in_a,"(25,)",,,
date_187_1974-02/climate_vars/zon_moist_700,only_in_a,"(25,)",,,
date_187_1974-02/climate_vars/zon_moist_925,only_in_a,"(25,)",,,
date_187_1974-02/grid_points,only_in_a,"(25, 2)",,,
date_187_1974-02/local_patches,only_in_a,"(25, 3, 3)",,,
date_187_1974-02/month_one_hot,only_in_a,"(12,)",,,
date_187_1974-02/rainfall,only_in_a,"(25,)",,,
date_187_1974-02/regional_patches,only_in_a,"(25, 3, 3)",,,
date_188_1974-03/climate_vars/air_2m,only_in_a,"(25,)",,,
date_188_1974-03/climate_vars/air_temp_diff_1000_500,only_in_a,"(25,)",,,
date_188_1974-03/climate_vars/hgt_1000,only_in_a,"(25,)",,,
date_188_1974-03/climate_vars/hgt_500,only_in_a,"(25,)",,,
date_188_1974-03/climate_vars/merid_moist_700,only_in_a,"(25,)",,,
date_188_1974-03/climate_vars/merid_moist_925,only_in_a,"(25,)",,,
date_188_1974-03/climate_vars/omega_500,only_in_a,"(25,)",,,
date_188_1974-03/climate_vars/pottmp_diff_1000_500,only_in_a,"(25,)",,,
date_188_1974-03/climate_vars/pottmp_diff_1000_850,only_in_a,"(25,)",,,
date_188_1974-03/climate_vars/pr_wtr,only_in_a,"(25,)",,,
date_188_1974-03/climate_vars/shum_700,only_in_a,"(25,)",,,
date_188_1974-03/climate_vars/shum_925,only_in_a,"(25,)",,,
date_188_1974-03/climate_vars/skin_temp,only_in_a,"(25,)",,,
date_188_1974-03/climate_vars/slp,only_in_a,"(25,)",,,
date_188_1974-03/climate_vars/zon_moist_700,only_in_a,"(25,)",,,
date_188_1974-03/climate_vars/zon_moist_925,only_in_a,"(25,)",,,
date_188_1974-03/grid_points,only_in_a,"(25, 2)",,,
date_188_1974-03/local_patches,only_in_a,"(25, 3, 3)",,,
date_188_1974-03/month_one_hot,only_in_a,"(12,)",,,
date_188_1974-03/rainfall,only_in_a,"(25,)",,,
date_188_1974-03/regional_patches,only_in_a,"(25, 3, 3)",,,
date_189_1974-04/climate_vars/air_2m,only_in_a,"(25,)",,,
date_189_1974-04/climate_vars/air_temp_diff_1000_500,only_in_a,"(25,)",,,
date_189_1974-04/climate_vars/hgt_1000,only_in_a,"(25,)",,,
date_189_1974-04/climate_vars/hgt_500,only_in_a,"(25,)",,,
date_189_1974-04/climate_vars/merid_moist_700,only_in_a,"(25,)",,,
date_189_1974-04/climate_vars/merid_moist_925,only_in_a,"(25,)",,,
date_189_1974-04/climate_vars/omega_500,only_in_a,"(25,)",,,
date_189_1974-04/climate_vars/pottmp_diff_1000_500,only_in_a,"(25,)",,,
date_189_1974-04/climate_vars/pottmp_diff_1000_850,only_in_a,"(25,)",,,
date_189_1974-04/climate_vars/pr_wtr,only_in_a,"(25,)",,,
date_189_1974-04/climate_vars/shum_700,only_in_a,"(25,)",,,
date_189_1974-04/climate_vars/shum_925,only_in_a,"(25,)",,,
date_189_1974-04/climate_vars/skin_temp,only_in_a,"(25,)",,,
date_189_1974-04/climate_vars/slp,only_in_a,"(25,)",,,
date_189_1974-04/climate_vars/zon_moist_700,only_in_a,"(25,)",,,
date_189_1974-04/climate_vars/zon_moist_925,only_in_a,"(25,)",,,
date_189_1974-04/grid_points,only_in_a,"(25, 2)",,,
date_189_1974-04/local_patches,only_in_a,"(25, 3, 3)",,,
date_189_1974-04/month_one_hot,only_in_a,"(12,)",,,
date_189_1974-04/rainfall,only_in_a,"(25,)",,,
date_189_1974-04/regional_patches,only_in_a,"(25, 3, 3)",,,
date_190_1974-05/climate_vars/air_2m,only_in_a,"(25,)",,,
date_190_1974-05/climate_vars/air_temp_diff_1000_500,only_in_a,"(25,)",,,
date_190_1974-05/climate_vars/hgt_1000,only_in_a,"(25,)",,,
date_190_1974-05/climate_vars/hgt_500,only_in_a,"(25,)",,,
date_190_1974-05/climate_vars/merid_moist_700,only_in_a,"(25,)",,,
date_190_1974-05/climate_vars/merid_moist_925,only_in_a,"(25,)",,,
date_190_1974-05/climate_vars/omega_500,only_in_a,"(25,)",,,
date_190_1974-05/climate_vars/pottmp_diff_1000_500,only_in_a,"(25,)",,,
date_190_1974-05/climate_vars/pottmp_diff_1000_850,only_in_a,"(25,)",,,
date_190_1974-05/climate_vars/pr_wtr,only_in_a,"(25,)",,,
date_190_1974-05/climate_vars/shum_700,only_in_a,"(25,)",,,
date_190_1974-05/climate_vars/shum_925,only_in_a,"(25,)",,,
date_190_1974-05/climate_vars/skin_temp,only_in_a,"(25,)",,,
date_190_1974-05/climate_vars/slp,only_in_a,"(25,)",,,
date_190_1974-05/climate_vars/zon_moist_700,only_in_a,"(25,)",,,
date_190_1974-05/climate_vars/zon_moist_925,only_in_a,"(25,)",,,
date_190_1974-05/grid_points,only_in_a,"(25, 2)",,,
date_190_1974-05/local_patches,only_in_a,"(25, 3, 3)",,,
date_190_1974-05/month_one_hot,only_in_a,"(12,)",,,
date_190_1974-05/rainfall,only_in_a,"(25,)",,,
date_190_1974-05/regional_patches,only_in_a,"(25, 3, 3)",,,
date_191_1974-06/climate_vars/air_2m,only_in_a,"(25,)",,,
date_191_1974-06/climate_vars/air_temp_diff_1000_500,only_in_a,"(25,)",,,
date_191_1974-06/climate_vars/hgt_1000,only_in_a,"(25,)",,,
date_191_1974-06/climate_vars/hgt_500,only_in_a,"(25,)",,,
date_191_1974-06/climate_vars/merid_moist_700,only_in_a,"(25,)",,,
date_191_1974-06/climate_vars/merid_moist_925,only_in_a,"(25,)",,,
date_191_1974-06/climate_vars/omega_500,only_in_a,"(25,)",,,
date_191_1974-06/climate_vars/pottmp_diff_1000_500,only_in_a,"(25,)",,,
date_191_1974-06/climate_vars/pottmp_diff_1000_850,only_in_a,"(25,)",,,
date_191_1974-06/climate_vars/pr_wtr,only_in_a,"(25,)",,,
date_191_1974-06/climate_vars/shum_700,only_in_a,"(25,)",,,
date_191_1974-06/climate_vars/shum_925,only_in_a,"(25,)",,,
date_191_1974-06/climate_vars/skin_temp,only_in_a,"(25,)",,,
date_191_1974-06/climate_vars/slp,only_in_a,"(25,)",,,
date_191_1974-06/climate_vars/zon_moist_700,only_in_a,"(25,)",,,
date_191_1974-06/climate_vars/zon_moist_925,only_in_a,"(25,)",,,
date_191_1974-06/grid_points,only_in_a,"(25, 2)",,,
date_191_1974-06/local_patches,only_in_a,"(25, 3, 3)",,,
date_191_1974-06/month_one_hot,only_in_a,"(12,)",,,
date_191_1974-06/rainfall,only_in_a,"(25,)",,,
date_191_1974-06/regional_patches,only_in_a,"(25, 3, 3)",,,
date_192_1974-07/climate_vars/air_2m,only_in_a,"(25,)",,,
