rank,trial_number,trial_id,objective_value,batch_size,climate_activation,climate_processing,climate_units,dropout_rate,l2_reg,learning_rate,local_dem_units,na,nb,output_activation,regional_dem_units,temporal_units,use_residual,weight_decay
1,81,1387,0.5300414383,0,0,0,1215,0.5,1.300901209e-07,0.0001302985785,4,3712,1,0,1,0,0,0.0007152983609
2,82,1388,0.5320410252,0,0,0,1260,0.5,1.000462249e-07,0.0001567763061,4,3712,1,0,1,0,0,0.0007199141179
3,28,1297,0.5328127146,0,0,0,1230,0.45,1.020340124e-07,6.293123326e-05,4,3712,1,0,1,0,0,0.0008585606692
4,90,1396,0.5353290856,0,0,0,1215,0.5,1.241278734e-07,0.0001914013973,4,3712,1,0,1,0,0,0.0008098198672
5,74,1380,0.5362855792,0,0,0,1260,0.5,1.102062487e-07,0.0001624758875,4,3840,1,0,1,1,0,0.0008462168096
6,52,1356,0.5370177209,0,0,0,1230,0.5,1.246922948e-07,0.000128337692,4,3584,1,0,1,0,0,0.0008257788232
7,44,1338,0.5371630907,0,0,0,1290,0.5,1.038622149e-07,0.000106291591,4,3968,1,0,1,0,0,0.001030836641
8,53,1358,0.5373168647,0,0,0,1245,0.5,1.601819891e-07,0.0001800075389,4,3584,1,0,1,0,0,0.0008717671129
9,45,1340,0.5374798,0,0,0,1290,0.5,1.040924388e-07,0.0001017551469,4,3968,1,0,1,0,0,0.0008192992277
10,5,1234,0.5378171623,1,0,0,1200,0.35,1.162316018e-07,0.0001581623316,4,3584,2,0,2,1,0,0.001052568485
