trial,value,local_dem_cfg,regional_dem_cfg,climate_units,dem_units,dem_patch_size,temporal_units,na,nb,dropout_rate,learning_rate,weight_decay,batch_size
0,252.52393462436112,1,6,3536,160,4,12,64,112,0.2,0.0003470266988650413,1.208754147305695e-07,256
1,246.08415811235122,0,1,2768,144,7,20,320,32,0.1,6.7890532716984874e-06,6.6723671704642e-06,256
2,247.80458019534888,2,0,3312,48,3,64,512,112,0.1,3.078651783619617e-07,5.456725485601477e-05,1024
3,260.42603595072757,0,6,2688,176,6,36,320,32,0.3,0.0007510418138777543,0.0005727904470799618,1024
4,250.21696097958184,0,1,2320,96,6,20,448,48,0.05,5.1698794422985435e-05,3.6618192203924245e-07,1024
5,244.3527974845471,3,1,2240,224,10,48,448,16,0.1,3.7961668958008084e-07,0.000283409042951477,256
6,241.98580823152216,1,2,3520,176,11,32,64,96,0.25,6.403036652671171e-05,0.0001213022118116514,512
7,238.17754873053795,0,0,2288,176,6,36,512,32,0.1,0.000599453765679882,8.226074946221031e-07,512
8,259.76503158849044,4,5,3360,224,11,12,512,80,0.25,0.0030231277487963,1.8707420137660242e-06,1024
9,241.79727481692217,4,6,2240,144,7,16,64,48,0.3,4.130614451133167e-06,1.188946976953047e-05,1024
10,261.3164808362476,2,4,3952,16,9,52,192,64,0.0,0.009158267559026587,1.0057689906130606e-06,512
11,240.38384068984325,4,3,2608,96,8,32,192,48,0.15000000000000002,4.062897706267459e-06,2.1141931813037026e-05,512
12,255.91577222356923,3,3,2656,96,9,32,192,16,0.15000000000000002,4.160843355035588e-06,1.1115323303041385e-05,512
13,246.65739043116977,3,3,2928,96,5,44,192,64,0.15000000000000002,0.0002501501938076678,4.436912442331282e-05,512
14,244.2314869080898,1,0,2512,256,8,40,256,48,0.0,1.5043304682372891e-05,3.2978891414286636e-06,512
15,246.01577070211434,4,3,3024,64,5,28,384,32,0.2,1.3009368945610328e-06,6.293752881841519e-07,512
16,243.00611488822753,2,4,2480,208,8,56,256,80,0.05,1.0970744339096216e-07,1.1194988999715337e-07,512
18,240.65671489114274,3,2,2448,112,6,4,128,16,0.2,0.00011737520721797324,3.1787449041407504e-05,512
19,262.90070737460627,1,2,2848,64,12,24,384,128,0.05,0.0012867363343967272,3.477401175401047e-06,512
20,242.04376171415552,0,4,3152,128,9,36,128,48,0.15000000000000002,1.6030890012737555e-05,2.8954556438114227e-07,512
21,245.2547777600029,2,0,2592,192,4,44,384,64,0.1,1.1699516521599467e-06,2.080962230659837e-05,256
