,datetime,precip_in
256,3/13/1959,0.5
257,3/14/1959,NA
258,3/15/1959,NA
259,3/16/1959,0.05
260,3/17/1959,NA
261,3/18/1959,NA
262,3/19/1959,0.4
263,3/20/1959,NA
264,3/21/1959,NA
265,3/22/1959,NA
266,3/23/1959,NA
267,3/24/1959,1.5
268,3/25/1959,0.35
269,3/26/1959,0.4
270,3/27/1959,0.3
271,3/28/1959,NA
272,3/29/1959,NA
273,3/30/1959,NA
274,3/31/1959,NA
275,4/1/1959,NA
276,4/2/1959,0.45
277,4/3/1959,0.35
278,4/4/1959,0.4
279,4/5/1959,0.5
280,4/6/1959,0.1
281,4/7/1959,0.15
282,4/8/1959,0.25
283,4/9/1959,NA
284,4/10/1959,1
285,4/11/1959,NA
286,4/12/1959,0.5
287,4/13/1959,0.2
288,4/14/1959,NA
289,4/15/1959,NA
290,4/16/1959,NA
291,4/17/1959,0.35
292,4/18/1959,1.15
293,4/19/1959,0.9
294,4/20/1959,0.4
295,4/21/1959,1.35
296,4/22/1959,NA
297,4/23/1959,NA
298,4/24/1959,NA
299,4/25/1959,1.1
300,4/26/1959,0.7
301,4/27/1959,NA
302,4/28/1959,NA
303,4/29/1959,NA
304,4/30/1959,1.5
305,5/1/1959,4.4
306,5/2/1959,0.9
307,5/3/1959,0.25
308,5/4/1959,NA
309,5/5/1959,0.3
310,5/6/1959,NA
311,5/7/1959,0.75
312,5/8/1959,NA
313,5/9/1959,1
314,5/10/1959,0.1
315,5/11/1959,1.2
316,5/12/1959,0.3
317,5/13/1959,NA
318,5/14/1959,NA
319,5/15/1959,0.35
320,5/16/1959,1.2
321,5/17/1959,0.1
322,5/18/1959,0.85
323,5/19/1959,0.15
324,5/20/1959,0.35
325,5/21/1959,NA
326,5/22/1959,NA
327,5/23/1959,NA
328,5/24/1959,1
329,5/25/1959,NA
330,5/26/1959,NA
331,5/27/1959,0.45
332,5/28/1959,NA
333,5/29/1959,0.85
334,5/30/1959,1.9
335,5/31/1959,0.2
336,6/1/1959,0.15
337,6/2/1959,1.2
338,6/3/1959,NA
339,6/4/1959,NA
340,6/5/1959,NA
341,6/6/1959,NA
342,6/7/1959,0.95
343,6/8/1959,0.6
344,6/9/1959,NA
345,6/10/1959,0.85
346,6/11/1959,NA
347,6/12/1959,1.4
348,6/13/1959,0.9
349,6/14/1959,0.1
350,6/15/1959,NA
351,6/16/1959,NA
352,6/17/1959,NA
353,6/18/1959,NA
354,6/19/1959,2.75
355,6/20/1959,NA
356,6/21/1959,NA
357,6/22/1959,0.15
358,6/23/1959,0.15
359,6/24/1959,0.1
360,6/25/1959,2.5
361,6/26/1959,0.15
362,6/27/1959,0.15
363,6/28/1959,0.15
364,6/29/1959,NA
365,6/30/1959,0.35
366,7/1/1959,NA
367,7/2/1959,0.15
368,7/3/1959,NA
369,7/4/1959,NA
370,7/5/1959,NA
371,7/6/1959,1.1
372,7/7/1959,NA
373,7/8/1959,NA
374,7/9/1959,0.35
375,7/10/1959,0.3
376,7/11/1959,NA
377,7/12/1959,0.8
378,7/13/1959,0.85
379,7/14/1959,NA
380,7/15/1959,NA
381,7/16/1959,NA
382,7/17/1959,NA
383,7/18/1959,5.35
384,7/19/1959,1.1
385,7/20/1959,0.75
386,7/21/1959,0.2
387,7/22/1959,0.2
388,7/23/1959,0.45
389,7/24/1959,NA
390,7/25/1959,0.4
391,7/26/1959,NA
392,7/27/1959,NA
