rmse_mm,mae_mm,mse_mm2,r2
102.13958165483643,68.70713806152344,10432.494140625,0.7705156803131104
108.27614977166024,71.91238403320312,11723.724609375,0.742112398147583
102.35323429336515,66.21327209472656,10476.1845703125,0.769554615020752
108.85797441506065,71.00135803222656,11850.05859375,0.7393333911895752
112.64159925539276,72.64551544189453,12688.1298828125,0.7208983898162842
98.91975125069816,65.76749420166016,9785.1171875,0.784756064414978
103.40847402413402,67.48979187011719,10693.3125,0.7647784352302551
102.7401341066382,66.14691925048828,10555.53515625,0.7678091526031494
103.68198071506929,67.32994079589844,10749.953125,0.7635325193405151
108.14128309473215,67.18573760986328,11694.537109375,0.7427544593811035
