rank,trial_number,trial_id,objective_value,attention_dropout,attention_heads,batch_size,climate_activation,climate_processing,climate_units,dropout_rate,l2_reg,learning_rate,local_dem_units,na,nb,output_activation,regional_dem_units,temporal_depth,temporal_dropout,temporal_units,use_multihead_attention,use_residual,use_spatial_attention,weight_decay
1,52,216,0.4320219994,0.15,0,0,0,0,1500,0.35,1.617801399e-05,8.010313183e-05,64,3512,224,0,24,0,0.1,12,0,0,0,9.145387337e-05
2,58,222,0.4323697786,0.15,0,0,0,0,1500,0.35,1.018883912e-05,8.255382353e-05,64,3256,256,0,32,0,0.1,12,0,0,0,6.782746663e-05
3,103,267,0.434122772,0.15,0,0,0,0,1485,0.35,1.138031493e-05,0.0001773860682,64,3640,256,0,16,0,0.1,16,0,0,0,3.389761506e-05
4,57,221,0.4344845553,0.15,0,0,0,0,1500,0.35,1.656831323e-05,8.547148082e-05,64,3512,256,0,24,0,0.1,12,0,0,0,6.753727466e-05
5,80,244,0.4347948045,0.15,0,0,0,0,1500,0.35,1.532725378e-05,0.0001677087651,64,3384,256,0,8,0,0.1,16,0,0,0,4.900982883e-05
6,65,229,0.4350955983,0.15,0,0,0,0,1500,0.35,2.236066984e-05,0.0001703260595,64,3640,240,0,16,0,0.1,12,0,0,0,5.624966314e-05
7,141,305,0.4351151814,0.15,0,0,0,0,1500,0.35,1.259522505e-05,0.0001117029515,64,3512,256,0,32,0,0.1,16,0,0,0,6.740729649e-05
8,138,302,0.4352848003,0.15,0,0,0,0,1485,0.35,1.158334262e-05,0.0001091641271,64,3384,256,0,32,0,0.1,16,0,0,0,6.285595571e-05
9,25,189,0.4355139275,0.15,0,0,0,0,1470,0.35,3.645851934e-05,5.284645999e-05,64,4920,176,0,48,1,0.05,8,0,0,0,4.958863312e-05
10,77,241,0.4355222414,0.15,0,0,0,0,1500,0.35,2.846222444e-05,0.0001040497053,64,3768,256,0,16,0,0.1,16,0,0,0,5.150227713e-05
