Unnamed: 0,datetime,precip_mm
1,01/01/2022,NA
2,01/02/2022,NA
3,01/03/2022,NA
4,01/04/2022,NA
5,01/05/2022,NA
6,01/06/2022,NA
7,01/07/2022,NA
8,01/08/2022,NA
9,01/09/2022,NA
10,01/10/2022,NA
11,01/11/2022,NA
12,01/12/2022,NA
13,01/13/2022,NA
14,01/14/2022,NA
15,01/15/2022,NA
16,01/16/2022,NA
17,01/17/2022,NA
18,01/18/2022,NA
19,01/19/2022,NA
20,01/20/2022,NA
21,01/21/2022,NA
22,01/22/2022,NA
23,01/23/2022,NA
24,01/24/2022,NA
25,01/25/2022,NA
26,01/26/2022,NA
27,01/27/2022,NA
28,01/28/2022,NA
29,01/29/2022,NA
30,01/30/2022,NA
31,01/31/2022,NA
32,02/01/2022,NA
33,02/02/2022,NA
34,02/03/2022,NA
35,02/04/2022,NA
36,02/05/2022,NA
37,02/06/2022,NA
38,02/07/2022,NA
39,02/08/2022,NA
40,02/09/2022,NA
41,02/10/2022,NA
42,02/11/2022,NA
43,02/12/2022,NA
44,02/13/2022,NA
45,02/14/2022,NA
46,02/15/2022,NA
47,02/16/2022,NA
48,02/17/2022,NA
49,02/18/2022,NA
50,02/19/2022,NA
51,02/20/2022,NA
52,02/21/2022,NA
53,02/22/2022,NA
54,02/23/2022,NA
55,02/24/2022,NA
56,02/25/2022,NA
57,02/26/2022,NA
58,02/27/2022,NA
59,02/28/2022,NA
60,03/01/2022,NA
61,03/02/2022,NA
62,03/03/2022,NA
63,03/04/2022,NA
64,03/05/2022,NA
65,03/06/2022,NA
66,03/07/2022,NA
67,03/08/2022,NA
68,03/09/2022,NA
69,03/10/2022,NA
70,03/11/2022,NA
71,03/12/2022,NA
72,03/13/2022,NA
73,03/14/2022,NA
74,03/15/2022,NA
75,03/16/2022,NA
76,03/17/2022,NA
77,03/18/2022,NA
78,03/19/2022,NA
79,03/20/2022,NA
80,03/21/2022,NA
81,03/22/2022,NA
82,03/23/2022,NA
83,03/24/2022,NA
84,03/25/2022,NA
85,03/26/2022,NA
86,03/27/2022,NA
87,03/28/2022,NA
88,03/29/2022,NA
89,03/30/2022,NA
90,03/31/2022,NA
91,04/01/2022,NA
92,04/02/2022,NA
93,04/03/2022,NA
94,04/04/2022,NA
95,04/05/2022,NA
96,04/06/2022,NA
97,04/07/2022,NA
98,04/08/2022,NA
99,04/09/2022,NA
100,04/10/2022,NA
101,04/11/2022,NA
102,04/12/2022,NA
103,04/13/2022,NA
104,04/14/2022,NA
105,04/15/2022,NA
106,04/16/2022,NA
107,04/17/2022,NA
108,04/18/2022,NA
109,04/19/2022,NA
110,04/20/2022,NA
111,04/21/2022,NA
112,04/22/2022,NA
113,04/23/2022,NA
114,04/24/2022,NA
115,04/25/2022,NA
116,04/26/2022,NA
117,04/27/2022,NA
118,04/28/2022,NA
119,04/29/2022,NA
120,04/30/2022,NA
121,05/01/2022,NA
122,05/02/2022,NA
123,05/03/2022,NA
124,05/04/2022,NA
125,05/05/2022,NA
126,05/06/2022,NA
127,05/07/2022,NA
128,05/08/2022,NA
129,05/09/2022,NA
130,05/10/2022,NA
131,05/11/2022,NA
132,05/12/2022,NA
