trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
5,28.41066551208496,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
13,28.460079193115234,2,3,9,0.4,0.0004481741920454474,0.0009630821198598023,1024
15,28.53913116455078,2,2,9,0.30000000000000004,0.0004718305512166081,6.704760342149861e-05,1024
23,28.542598724365234,2,2,9,0.2,0.0009128488043910653,1.5068059710400316e-05,1024
10,28.622697830200195,4,4,17,0.4,0.0001739181495259443,0.0005284384205738847,1024
22,28.63646125793457,2,3,10,0.30000000000000004,0.00045374253397603345,0.00046609725635906034,1024
3,28.640127182006836,3,1,1,0.5,0.0008536189862866829,0.0002661901888489054,512
25,28.64554786682129,1,2,15,0.35,0.0005955465595409588,7.275792580924098e-05,1024
9,28.681833267211914,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
29,28.68670654296875,1,6,15,0.30000000000000004,0.00039984059196405936,6.680203847908876e-06,256
