fold,val_loss_criterion,val_mse_unweighted,val_r2
1,0.20831072330474854,0.1910819262266159,0.7859709858894348
2,0.22001299262046814,0.2071491777896881,0.7719363570213318
3,0.158643439412117,0.1550188958644867,0.8383891582489014
4,0.28191250562667847,0.1964087337255478,0.7973501682281494
5,0.1884610503911972,0.16236411035060883,0.8370531797409058
6,0.30686792731285095,0.2370292693376541,0.7647668719291687
7,0.24979311227798462,0.25601041316986084,0.7575135231018066
8,0.327841192483902,0.20750166475772858,0.7671393156051636
9,0.25039589405059814,0.21928487718105316,0.8103087544441223
10,0.21832801401615143,0.21111765503883362,0.7889000177383423
11,0.356415331363678,0.2698213458061218,0.7693737149238586
12,0.16031329333782196,0.15954217314720154,0.8168235421180725
13,0.288693904876709,0.22053369879722595,0.7408713102340698
14,0.24501165747642517,0.23761001229286194,0.7581266164779663
15,0.23228232562541962,0.21701745688915253,0.7910401225090027
