fold,val_loss_criterion,val_mse_unweighted,val_r2
1,0.17362302541732788,0.1736229956150055,0.8055265545845032
2,0.16487236320972443,0.16487236320972443,0.8184815645217896
3,0.15076439082622528,0.15076439082622528,0.8428245782852173
4,0.18391865491867065,0.18391864001750946,0.8102371096611023
5,0.1599539816379547,0.15995396673679352,0.8394719958305359
6,0.19415050745010376,0.19415050745010376,0.8073207139968872
7,0.24584531784057617,0.24584531784057617,0.7671416997909546
8,0.17751312255859375,0.17751310765743256,0.8007928133010864
9,0.22054702043533325,0.22054700553417206,0.8092169761657715
10,0.19989843666553497,0.19989842176437378,0.8001183271408081
11,0.2793344557285309,0.2793344557285309,0.7612425088882446
12,0.13925816118717194,0.13925814628601074,0.8401123881340027
13,0.19108286499977112,0.19108285009860992,0.7754762172698975
14,0.23946420848369598,0.2394641786813736,0.7562391757965088
15,0.2007436603307724,0.2007436454296112,0.8067096471786499
