fold,val_loss_criterion,val_mse_unweighted,val_r2
1,0.41392531991004944,0.41392531991004944,0.5714220404624939
2,0.43912290036678314,0.43912290036678314,0.5583628416061401
3,0.39139367640018463,0.39139367640018463,0.5654535293579102
4,0.4914054423570633,0.4914054423570633,0.5439302921295166
5,0.4578365832567215,0.4578365832567215,0.5432442426681519
6,0.4294542521238327,0.4294542521238327,0.6094602346420288
7,0.5154535174369812,0.5154535174369812,0.4691629409790039
8,0.5095672905445099,0.5095672905445099,0.5419093370437622
9,0.4783417582511902,0.4783417582511902,0.5268950462341309
10,0.39243292808532715,0.39243292808532715,0.5609055757522583
