Metric,Value,Unit
R²,-0.26262545585632324,dimensionless
MSE,0.1865321844816208,normalized²
RMSE,0.4318937189652343,normalized
MAE,0.2109832614660263,normalized
RMSE,9.98126143500832,mm
MAE,4.875919818878174,mm
