trial,value,local_dem_cfg,regional_dem_cfg,lightweight,climate_units,dem_units,dem_patch_size,temporal_units,na,nb,dropout_rate,learning_rate,weight_decay,batch_size
0,949.0389957663934,2,7,True,180,16,3,24,176,48,0.3,0.0008706020878304854,0.000462258900102083,1024
1,1111.7572227014502,3,3,False,150,32,6,12,208,16,0.45,0.00015304852121831474,1.2385137298860926e-05,1024
2,1036.929918699642,6,6,True,360,32,4,12,32,64,0.35,0.00021137059440645722,4.201672054372529e-05,1024
3,1025.283937557249,5,7,True,450,16,4,4,96,32,0.35,0.00045443839603360173,5.170191786366994e-05,1024
4,1206.247582909988,0,7,True,120,64,10,20,208,16,0.4,1.70505392602693e-05,0.0005323617594751496,128
5,1475.7278884002455,2,5,False,300,16,10,20,160,64,0.45,0.00011103647313054615,7.162786999897333e-05,1024
6,1215.5614976638087,2,4,True,270,64,5,4,96,16,0.6,0.00041327654594663655,0.00018484491720988634,1024
7,1319.124387054057,3,6,True,150,16,7,20,224,16,0.45,6.83631406502272e-05,2.781093697926551e-05,512
8,959.0429197662837,3,5,False,480,32,7,8,96,16,0.5,0.00010124137770478642,1.2675278269816288e-05,256
9,1258.9114403864878,3,7,False,390,16,10,12,176,48,0.45,1.5155823539597614e-05,0.0004683871708118725,1024
10,948.980257915412,0,0,True,210,48,3,24,256,48,0.3,0.0009656245134970208,0.0001849967401712712,256
11,1058.8551929463758,0,0,True,210,48,3,24,256,48,0.3,0.0008214797068969951,0.00019418155962998247,256
12,1041.1348965904715,1,0,True,210,48,3,24,256,48,0.3,0.0009420047004690234,0.0008524636948952178,256
13,1072.6760302873765,1,2,True,210,48,5,24,128,32,0.35,0.0003977043713537103,0.00018787592218107228,512
14,1066.5014137001692,1,2,True,240,48,12,16,176,48,0.3,4.2356139008940405e-05,0.0002954383067729469,128
15,1131.3196245518373,4,1,True,330,32,3,16,128,64,0.55,0.0002709628424352097,0.0008333379679500322,256
16,944.3063792141926,0,3,True,180,64,5,20,224,32,0.4,0.0009966781775698212,0.00011108982830906097,256
17,912.5536200921365,0,2,True,270,64,5,20,224,32,0.4,0.0005676076056081949,0.00010846745199079278,256
18,764.2830748356669,0,3,False,270,64,8,16,224,32,0.4,0.0005276626482905538,7.944398377228223e-05,256
19,1160.4867766514387,1,2,False,300,64,8,16,224,32,0.4,0.0005471375490878394,2.7001819228202695e-05,256
20,1209.1203902144744,0,4,False,390,64,8,8,32,32,0.5,0.00022165082237284565,9.805326261547765e-05,256
21,914.2329786235817,0,3,False,270,64,6,20,224,32,0.4,0.0006071762626416722,0.00010306375374689121,256
22,999.9002764192788,1,3,False,270,64,6,16,208,32,0.4,0.0005771054740460696,0.00010900924363756451,256
23,1079.9571159729255,0,1,False,270,64,9,20,240,32,0.35,0.00038232035849383776,6.986157812601635e-05,256
24,1035.5129282655284,1,2,False,330,64,6,20,192,32,0.5,0.0002932742095936248,4.559648046920582e-05,512
25,929.1245639675914,2,4,False,240,48,7,16,240,32,0.4,0.0005884820989950266,0.00014065355757790683,128
26,900.9653741396581,0,1,False,300,64,9,20,144,32,0.4,0.00016401826147693831,7.655838784742224e-05,256
27,850.9258149597999,4,1,False,330,64,9,16,128,16,0.35,4.9983902129091683e-05,2.712627059307987e-05,256
28,1032.8597653950355,4,1,False,360,48,9,12,144,16,0.35,4.027082319455458e-05,1.9027166097729425e-05,256
29,1108.5616383461186,5,1,False,420,64,12,16,112,16,0.35,6.32692814056204e-05,2.778467463615882e-05,256
30,1140.876486691582,4,1,False,330,48,11,8,80,16,0.35,2.5331808469631823e-05,6.493812586418596e-05,128
31,1099.5298496603605,5,2,False,300,64,9,16,160,32,0.4,0.00015071415682486847,0.0002668449597843346,256
32,977.1946131991263,2,2,False,360,64,8,20,144,32,0.45,0.00014506559475189833,1.9339634367168518e-05,256
33,1200.900003465719,6,1,False,240,64,9,12,192,16,0.4,6.882111015351971e-05,4.1091342253144117e-05,256
34,981.454322706695,4,0,False,330,64,11,16,128,48,0.45,4.2662127449074575e-05,3.5926437575465e-05,256
35,1311.33307064476,0,3,False,300,64,8,20,64,32,0.35,2.9894380489656243e-05,7.657136989407123e-05,512
36,999.5405823623101,1,2,False,360,64,9,16,160,16,0.4,0.00022218662501478036,5.903356222116021e-05,256
