fold,val_loss_criterion,val_mse_unweighted,val_r2
1,0.27403609454631805,0.24613217264413834,0.7252536416053772
2,0.3138606995344162,0.2529124319553375,0.7173824906349182
3,0.13238316029310226,0.14022882282733917,0.852308452129364
4,0.5546534657478333,0.32074303925037384,0.6684985160827637
5,0.30760474503040314,0.1982472762465477,0.8035109639167786
6,0.568373367190361,0.47145266830921173,0.5247111320495605
7,0.3717833608388901,0.4390484690666199,0.5915704965591431
8,0.4627732038497925,0.47257694602012634,0.47401827573776245
9,0.24539568275213242,0.2621481418609619,0.7710916996002197
10,0.2962770089507103,0.21276962012052536,0.7864348888397217
11,0.5761943310499191,0.27812396734952927,0.7580253481864929
12,0.17776118963956833,0.16950799524784088,0.8032996654510498
13,0.753912091255188,0.45647402107715607,0.4660084843635559
14,0.30205848813056946,0.3054284527897835,0.6975488662719727
15,0.38066984713077545,0.29074233770370483,0.7231345176696777
