fold,val_loss_criterion,val_mse_unweighted,val_r2
1,0.4546854794025421,0.4546854794025421,0.5313222408294678
2,0.44632822275161743,0.44632822275161743,0.5453894138336182
3,0.35873210430145264,0.35873210430145264,0.5953415632247925
4,0.4930872619152069,0.4930872619152069,0.5476087331771851
5,0.43825650215148926,0.43825650215148926,0.5588870644569397
6,0.4460207521915436,0.4460207521915436,0.5863133668899536
7,0.5050773620605469,0.5050773620605469,0.46579116582870483
8,0.4473021328449249,0.4473021328449249,0.5754053592681885
9,0.4814968407154083,0.4814968407154083,0.5271984338760376
10,0.42031192779541016,0.42031192779541016,0.5423215627670288
