Metric,Value,Unit
R²,0.8368458151817322,dimensionless
MSE,0.17504803836345673,normalized²
RMSE,0.41838742615362706,normalized
MAE,0.30026888847351074,normalized
RMSE,84.17529607165038,mm
MAE,60.41104507446289,mm
