trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
0,1.5433319807052612,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
1,1.6923508644104004,0,0,3,lstm,1.4500000000000002,0.2,0.00016738085788752134,2.62108787826544e-06,1024
2,0.57911616563797,0,2,10,lstm,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
3,1.4835561513900757,1,0,8,lstm,1.25,0.35,4.201672054372529e-05,3.632486956676606e-05,512
4,1.6027501821517944,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
5,3.2560760974884033,2,0,14,lstm,1.75,0.15000000000000002,1.0257563974185649e-05,0.0002795015916508333,512
6,0.8442336916923523,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
7,2.6147725582122803,2,3,10,mlp,1.5,0.25,1.1241862095793047e-05,2.107047280657824e-06,256
8,2.1695282459259033,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
9,1.5189056396484375,0,4,9,lstm,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
10,2.025616407394409,0,2,0,lstm,1.75,0.5,0.0008834198287715506,0.0008522261645812476,128
11,0.6480737924575806,1,2,17,mlp,1.05,0.35,0.00013278454488008872,0.00017037146148687603,128
12,12.798225402832031,0,2,16,lstm,1.95,0.35,0.00023136975888218448,0.00018183320013855016,128
13,0.7853104472160339,1,3,17,mlp,1.05,0.45000000000000007,0.0003326464611525283,0.00038273846053689576,128
14,0.8323746919631958,2,1,5,mlp,1.3,0.35,0.00010249116503090763,9.752521141499e-05,128
15,0.9417350888252258,0,2,12,lstm,1.4000000000000001,0.30000000000000004,0.0009096015328440256,0.0009947336279637524,128
16,3.044968843460083,1,3,5,mlp,1.55,0.4,0.00010550522234143538,6.986228381681101e-06,1024
17,0.6164970993995667,0,1,12,lstm,1.05,0.30000000000000004,0.0004246072557261024,0.00038909061951747007,128
18,1.455647587776184,0,1,12,lstm,1.6,0.25,0.00043402393107401326,0.0004536039428667011,128
19,0.6579241752624512,0,1,11,lstm,1.2000000000000002,0.25,0.000582735717426563,5.8507559384470386e-05,128
20,1.2920231819152832,0,1,14,lstm,1.3,0.30000000000000004,0.00024899652149944473,1.0835847514722128e-06,1024
21,0.6203747987747192,1,2,7,lstm,1.05,0.4,0.00014743595753011484,0.00020196643074709027,128
22,0.7050842046737671,1,2,7,lstm,1.05,0.45000000000000007,0.00034351657753826806,0.00026986061170336035,128
23,0.5786762237548828,0,3,5,lstm,1.1500000000000001,0.4,0.0006389272070883361,0.000534069439128501,128
24,0.5756766200065613,0,3,3,lstm,1.2000000000000002,0.4,0.0006964295109492946,0.0005508826847685114,128
25,0.5568726658821106,0,3,2,lstm,1.2000000000000002,0.5,0.0006691639788741085,0.0006883321182564929,128
26,0.6230600476264954,0,3,1,lstm,1.3,0.5,0.0005518319901709908,9.910679760863431e-05,128
27,0.7498510479927063,0,3,3,lstm,1.4000000000000001,0.45000000000000007,0.0006922742321312415,0.0005490832163907455,128
28,1.032257080078125,2,3,3,lstm,1.1500000000000001,0.4,0.0002347962260731421,0.00033508890721372736,1024
29,1.791908860206604,1,4,5,lstm,1.1500000000000001,0.5,0.0004379959563981642,0.00010241803418761814,512
