fold,val_loss_criterion,val_mse_unweighted,val_r2
1,0.22931241989135742,0.19635024666786194,0.7674363255500793
2,0.2960897386074066,0.22288690507411957,0.7546097040176392
3,0.16240866482257843,0.1611560732126236,0.8319909572601318
4,0.4829011857509613,0.19092312455177307,0.803010106086731
5,0.2514704763889313,0.19073829054832458,0.8085771203041077
6,0.4787055552005768,0.30099716782569885,0.7012836933135986
7,0.2669164836406708,0.2763650119304657,0.7382341623306274
8,0.26131466031074524,0.17614002525806427,0.8023337125778198
9,0.24587057530879974,0.20389938354492188,0.8236179351806641
10,0.2818779945373535,0.24099813401699066,0.7590221166610718
11,0.5065661072731018,0.30562302470207214,0.7387726902961731
12,0.16468672454357147,0.16656315326690674,0.8087624907493591
13,0.5528644919395447,0.22998826205730438,0.7297621369361877
14,0.2755192518234253,0.2684864401817322,0.7266961336135864
15,0.3943493068218231,0.2752300798892975,0.734988808631897
