Metric,Value,Unit
R²,0.7527608871459961,dimensionless
MSE,0.2776772379875183,normalized²
RMSE,0.5269508876427843,normalized
MAE,0.33572593331336975,normalized
RMSE,106.01716676292335,mm
MAE,67.5446548461914,mm
