split,variable,mean,std
train,air_temp_diff_1000_500,30.896587371826172,1.052626132965088
train,air_2m,299.7566833496094,0.7351198792457581
train,hgt_500,57477.859375,170.40428161621094
train,hgt_1000,921.6151123046875,204.42156982421875
train,omega_500,-0.02762482687830925,0.10498946905136108
train,pottmp_diff_500_1000,27.845964431762695,1.2187455892562866
train,pottmp_diff_850_1000,5.612150192260742,0.7589215040206909
train,pr_wtr,47.03696060180664,8.969429969787598
train,shum_750,0.007564909756183624,0.0024203862994909286
train,shum_925,0.014682975597679615,0.0012403583386912942
train,zon_moist_750,-0.014280089177191257,0.037050873041152954
train,zon_moist_925,-0.06577955186367035,0.06605072319507599
train,merid_moist_750,-0.011886115185916424,0.024517688900232315
train,merid_moist_925,-0.0011920810211449862,0.050143249332904816
train,skin_temp,301.4620361328125,0.7864647507667542
train,slp,101069.1875,239.236572265625
