,mse,rmse,mae,mbe,r2,spearman_r,spearman_p,wasserstein,baseline_rmse,baseline_r2
LAND,159.092483267454,12.61318687990684,7.417635176658337,0.6093618842476983,0.2829675920256023,0.617683076756824,4.5633964343097594e-256,3.8113775862688506,14.89551207329239,0.0
Site MLP,277.3314967693045,16.653272854586408,9.017162597356887,-0.8992921358095577,0.3165713169026304,0.5843282312613025,0.0,3.8868085735071234,20.14433786115526,0.0
Baseline (mean),,14.89551207329239,,0.0,0.0,,,,,
