Metric,Value,Unit
R²,0.702065110206604,dimensionless
MSE,0.3346143364906311,normalized²
RMSE,0.5784585866685973,normalized
MAE,0.3941505551338196,normalized
RMSE,116.37998864844634,mm
MAE,79.29908752441406,mm
